arm,seed,bearing_id,split,scope,target_start_step,target_count,gru_mse,persistence_mse,mse_ratio,skill,gru_rmse,persistence_rmse,gru_win_fraction,gru_median_step_mse,persistence_median_step_mse
control,20260918,Bearing1_4,validation,full_sequence_diagnostic,1,121,0.05477337747017233,0.03128171097419343,1.7509712788842942,-0.7509712788842942,0.23403712840097046,0.176866364733924,0.04132231404958678,0.012194432485557627,0.0009025831204780843
control,20260918,Bearing1_5,holdout_test,primary,25,27,0.03683894362590486,0.008694134638168339,4.237217981899808,-3.237217981899808,0.19193473793429072,0.09324234359006824,0.07407407407407407,0.03289557644893648,0.0004942103014400345
control,20260918,Bearing1_5,holdout_test,full_sequence_diagnostic,1,51,0.03172669987450001,0.005012204918733123,6.329888819174457,-5.329888819174457,0.17811990308356898,0.07079692732550702,0.0392156862745098,0.02616030216865539,0.00031926027895679
ranking,20260916,Bearing1_1,train,primary,25,98,0.024665279733146257,0.00833786647107714,2.9582243633556096,-1.9582243633556096,0.1570518377261032,0.09131191855983062,0.17346938775510204,0.023684087209403515,0.0006810361910538631
ranking,20260916,Bearing1_1,train,full_sequence_diagnostic,1,122,0.024359541170540757,0.00788148678085409,3.0907291793872673,-2.0907291793872673,0.15607543423146628,0.08877773809268903,0.1721311475409836,0.020193880884107784,0.0011544518965820316
ranking,20260916,Bearing1_2,train,primary,25,136,0.019363943019050193,0.009941434409771757,1.9478017176290725,-0.9478017176290725,0.13915438555449913,0.09970674204772592,0.10294117647058823,0.008737878971260216,7.018252643220535e-05
ranking,20260916,Bearing1_2,train,full_sequence_diagnostic,1,160,0.020087685810015306,0.008695448909705241,2.3101378685112923,-1.3101378685112923,0.14173103333432416,0.09324939093476826,0.0875,0.009713798423490516,0.00017575316547735476
ranking,20260916,Bearing1_3,train,primary,25,133,0.012416681930030902,0.002705652369428734,4.589163807711386,-3.589163807711386,0.11143016615814096,0.05201588574107658,0.05263157894736842,0.008693557156220777,0.0006128351124061737
ranking,20260916,Bearing1_3,train,full_sequence_diagnostic,1,157,0.012851614432184293,0.0024834080616558357,5.174991025685629,-4.174991025685629,0.11336496121899522,0.04983380440680639,0.044585987261146494,0.008997678582090884,0.0006128351124061737
ranking,20260916,Bearing1_4,validation,primary,25,97,0.0591827770141935,0.03877501019310031,1.5263123521944186,-0.5263123521944186,0.24327510561953006,0.19691371255730342,0.07216494845360824,0.008652872063976247,0.0009561158694850747
ranking,20260916,Bearing1_4,validation,full_sequence_diagnostic,1,121,0.054977870210741686,0.03128171097419343,1.7575084130179754,-0.7575084130179754,0.2344736023750684,0.176866364733924,0.05785123966942149,0.012241966254805448,0.0009025831204780843
ranking,20260916,Bearing1_5,holdout_test,primary,25,27,0.03921763328577509,0.008694134638168339,4.510815040016148,-3.5108150400161477,0.19803442449679068,0.09324234359006824,0.07407407407407407,0.03526585071813315,0.0004942103014400345
ranking,20260916,Bearing1_5,holdout_test,full_sequence_diagnostic,1,51,0.03117265370866005,0.005012204918733123,6.21934941090541,-5.21934941090541,0.17655779141306693,0.07079692732550702,0.0392156862745098,0.023402006430842448,0.00031926027895679
ranking,20260917,Bearing1_1,train,primary,25,98,0.024960348724504585,0.00833786647107714,2.9936133915178957,-1.9936133915178957,0.1579884449081786,0.09131191855983062,0.17346938775510204,0.022921489231521264,0.0006810361910538631
ranking,20260917,Bearing1_1,train,full_sequence_diagnostic,1,122,0.025233426987968526,0.00788148678085409,3.2016074745270418,-2.2016074745270418,0.15885032888844935,0.08877773809268903,0.18032786885245902,0.019677142539876513,0.0011544518965820316
ranking,20260917,Bearing1_2,train,primary,25,136,0.019210024759193416,0.009941434409771757,1.932319217467377,-0.9323192174673769,0.13860023361882698,0.09970674204772592,0.10294117647058823,0.008615477883722633,7.018252643220535e-05
