scope,arm,bearing_id,split,target_count,persistence_mse,gru_mse_mean,ratio_mean,skill_mean,skill_sample_std,skill_min,skill_max,positive_skill_seed_count,gru_win_fraction_mean
primary,control,Bearing1_1,train,98,0.00833786647107714,0.025189237388094875,3.0210650980646805,-2.021065098064681,0.03853355224040949,-2.0636522584809933,-1.9886097539268932,0,0.17346938775510204
primary,control,Bearing1_2,train,136,0.009941434409771757,0.01955060725859165,1.966578106613541,-0.9665781066135409,0.06082406323097223,-1.036810462875145,-0.9311030853656721,0,0.10784313725490195
primary,control,Bearing1_3,train,133,0.002705652369428734,0.011890911661568497,4.394840887885061,-3.3948408878850613,0.3546071954317889,-3.6398002816462673,-2.988209058145833,0,0.09273182957393483
primary,control,Bearing1_4,validation,97,0.03877501019310031,0.05897824009316871,1.521037384631388,-0.521037384631388,0.020191228783363994,-0.5335537155780048,-0.49774420185523494,0,0.07216494845360825
primary,control,Bearing1_5,holdout_test,27,0.008694134638168339,0.03933850667682423,4.524717906267895,-3.5247179062678953,0.3018856053432861,-3.8391803865334797,-3.237217981899808,0,0.07407407407407407
primary,ranking,Bearing1_1,train,98,0.00833786647107714,0.025045017610756008,3.003768133926535,-2.003768133926535,0.05137936443426393,-2.059466646906101,-1.9582243633556096,0,0.17346938775510204
primary,ranking,Bearing1_2,train,136,0.009941434409771757,0.019636769882260933,1.975245127902199,-0.9752451279021987,0.0614313269064552,-1.0456144486101469,-0.9323192174673769,0,0.10294117647058824
primary,ranking,Bearing1_3,train,133,0.002705652369428734,0.012050401313657968,4.453787725953229,-3.453787725953229,0.32575191717319607,-3.6900228643610706,-3.0821765057872303,0,0.09022556390977443
primary,ranking,Bearing1_4,validation,97,0.03877501019310031,0.05887007443355189,1.5182478132275854,-0.5182478132275855,0.019274237511269936,-0.5321799151520465,-0.49625117233629146,0,0.07216494845360825
primary,ranking,Bearing1_5,holdout_test,27,0.008694134638168339,0.03932915044771298,4.523641752113325,-3.5236417521133254,0.2711361960442414,-3.800963659887258,-3.25914655643657,0,0.07407407407407407
full_sequence_diagnostic,control,Bearing1_1,train,122,0.00788148678085409,0.025307821001364996,3.2110465582259686,-2.2110465582259686,0.09050124842365248,-2.3008693861686194,-2.1198818130067387,0,0.17486338797814208
full_sequence_diagnostic,control,Bearing1_2,train,160,0.008695448909705241,0.02056075712537597,2.3645423415032103,-1.3645423415032105,0.09530363549829944,-1.474016084518917,-1.3000891110172725,0,0.09166666666666667
full_sequence_diagnostic,control,Bearing1_3,train,157,0.0024834080616558357,0.012702209391401929,5.114829732385023,-4.114829732385023,0.19955058784962154,-4.287880619250582,-3.896545114594584,0,0.08492569002123142
full_sequence_diagnostic,control,Bearing1_4,validation,121,0.03128171097419343,0.05521693296386205,1.7651506661325058,-0.7651506661325057,0.013717487800235156,-0.7783541314646933,-0.7509712788842942,0,0.05785123966942149
full_sequence_diagnostic,control,Bearing1_5,holdout_test,51,0.005012204918733123,0.032101668718765776,6.404699975211656,-5.404699975211656,0.2099626916189935,-5.641822352902132,-5.242388753558382,0,0.0392156862745098
full_sequence_diagnostic,ranking,Bearing1_1,train,122,0.00788148678085409,0.02519399630280517,3.1966045244162653,-2.1966045244162653,0.10346462741284562,-2.297476919334487,-2.0907291793872673,0,0.17759562841530055
full_sequence_diagnostic,ranking,Bearing1_2,train,160,0.008695448909705241,0.02059970081521127,2.3690209705239424,-1.3690209705239422,0.09341104257780004,-1.476726230224,-1.3101378685112923,0,0.08749999999999998
full_sequence_diagnostic,ranking,Bearing1_3,train,157,0.0024834080616558357,0.012816690205961373,5.160928002068144,-4.160928002068144,0.18500359868893254,-4.338498779120906,-3.969294201397898,0,0.08280254777070063
full_sequence_diagnostic,ranking,Bearing1_4,validation,121,0.03128171097419343,0.0550587795799258,1.7600948882031358,-0.7600948882031356,0.015253784634513752,-0.7764765503411593,-0.7462997012502723,0,0.05785123966942149
full_sequence_diagnostic,ranking,Bearing1_5,holdout_test,51,0.005012204918733123,0.03197106057992507,6.378641954648181,-5.378641954648181,0.19910968323280304,-5.6018642693959295,-5.21934941090541,0,0.0392156862745098
