arm,seed,test_bearing,epoch,grl_coefficient,health_mse,domain_cross_entropy
source_only,20260918,Bearing3_1,1,0.0,0.28274970591068266,0.7104712176322937
source_only,20260918,Bearing3_1,2,0.0,0.11837593913078308,0.6887269282341003
source_only,20260918,Bearing3_1,3,0.0,0.06015191892782847,0.6479189912478129
source_only,20260918,Bearing3_1,4,0.0,0.03666718895236651,0.5896010518074035
source_only,20260918,Bearing3_1,5,0.0,0.021007216610014437,0.5375617376963298
source_only,20260918,Bearing3_1,6,0.0,0.01361597640439868,0.4899921890099843
source_only,20260918,Bearing3_1,7,0.0,0.009401007971415918,0.43812482714653017
source_only,20260918,Bearing3_1,8,0.0,0.006819319029649099,0.39019979039827984
source_only,20260918,Bearing3_1,9,0.0,0.005533594917505979,0.34346975008646646
source_only,20260918,Bearing3_1,10,0.0,0.004728678048898777,0.3024710007508596
source_only,20260918,Bearing3_1,11,0.0,0.004076332934200764,0.2648593084017436
source_only,20260918,Bearing3_1,12,0.0,0.003534511956386268,0.2307198013861974
source_only,20260918,Bearing3_1,13,0.0,0.003115707620357474,0.1984197336435318
source_only,20260918,Bearing3_1,14,0.0,0.0027740458492189644,0.17020728488763173
source_only,20260918,Bearing3_1,15,0.0,0.0024823196760068336,0.14666926393906277
source_only,20260918,Bearing3_1,16,0.0,0.0022487370080004135,0.12628999600807825
source_only,20260918,Bearing3_1,17,0.0,0.0020500072464346886,0.10958022087812423
source_only,20260918,Bearing3_1,18,0.0,0.0018842171776729325,0.09536600480477016
source_only,20260918,Bearing3_1,19,0.0,0.001715730254848798,0.08409800817569096
source_only,20260918,Bearing3_1,20,0.0,0.0015778454532846809,0.07405173982183139
source_only,20260918,Bearing3_1,21,0.0,0.0014479326115300257,0.06673786759376527
source_only,20260918,Bearing3_1,22,0.0,0.0013647991667191189,0.059694418162107465
source_only,20260918,Bearing3_1,23,0.0,0.0012756236953039965,0.05481310859322548
source_only,20260918,Bearing3_1,24,0.0,0.0011470755795016884,0.049575252880652745
source_only,20260918,Bearing3_1,25,0.0,0.001076151910237968,0.04549836590886116
source_only,20260918,Bearing3_1,26,0.0,0.0009702518978156149,0.04193054762979349
source_only,20260918,Bearing3_1,27,0.0,0.0008966278905669848,0.03900017405549685
source_only,20260918,Bearing3_1,28,0.0,0.0008475420868489891,0.03645527680714925
source_only,20260918,Bearing3_1,29,0.0,0.000784674952349936,0.0342986203233401
source_only,20260918,Bearing3_1,30,0.0,0.0007392642088234425,0.032059890429178874
source_dann,20260918,Bearing3_1,1,0.0,0.28274970591068266,0.7104712176322937
source_dann,20260918,Bearing3_1,2,0.017072534188628197,0.11838154956698417,0.6888045787811279
source_dann,20260918,Bearing3_1,3,0.033178042620420456,0.06019432902336121,0.6491246827443441
source_dann,20260918,Bearing3_1,4,0.0475568063557148,0.036701567247509954,0.595155873298645
source_dann,20260918,Bearing3_1,5,0.05977604538202286,0.021010338515043258,0.5515777738889058
source_dann,20260918,Bearing3_1,6,0.06973221153020859,0.013922605458647012,0.5191901183128357
source_dann,20260918,Bearing3_1,7,0.07756999880075455,0.0096442045768102,0.4953932054837545
source_dann,20260918,Bearing3_1,8,0.08357461541891098,0.007450210837026437,0.5025616232554118
source_dann,20260918,Bearing3_1,9,0.08807966858148575,0.006777681006739537,0.561862948735555
source_dann,20260918,Bearing3_1,10,0.09140695631504059,0.0073632414763172465,0.6592626229921976
source_dann,20260918,Bearing3_1,11,0.09383594244718552,0.008146143220365047,0.7646164894104004
source_dann,20260918,Bearing3_1,12,0.0955941304564476,0.00874534082909425,0.865644858678182
source_dann,20260918,Bearing3_1,13,0.09685895591974258,0.009255551012853781,0.9470324540138244
source_dann,20260918,Bearing3_1,14,0.09776481240987778,0.008066529395679633,0.9406690176328023
source_dann,20260918,Bearing3_1,15,0.09841155260801315,0.005483551391710838,0.8285907340049744
