arm,seed,bearing_id,dimension,true_mean,predicted_mean,error_bias,raw_mse,bias_mse,bias_fraction,oracle_bias_corrected_mse,true_rms,predicted_rms,magnitude_ratio,through_origin_gain,pearson,same_sign_fraction
control,20260917,Bearing1_1,7,0.017151898191291457,0.04283318729424963,0.025681289102958173,0.01171540327239604,0.0006595286099897182,0.056295852106406495,0.011055874662406323,0.09204710232759117,0.08822387307519686,0.9584644257590247,0.2679626413920047,0.2201674735236651,0.673469387755102
control,20260917,Bearing1_2,0,0.01936926506459713,-0.0005620653357575921,-0.019931330400354722,0.014530971848719902,0.0003972579315281043,0.02733870354054127,0.014133713917191799,0.09664264603752887,0.09762706241631218,1.0101861488602148,0.23233217094545214,0.235934339421405,0.47794117647058826
control,20260917,Bearing1_2,1,0.019061759990804335,-0.0525969199507552,-0.07165867994155954,0.017981759048582863,0.005134966410966868,0.28556529965134597,0.012846792637615996,0.0940324740921585,0.11330636132003973,1.2049705425063202,0.2091514495513988,0.30861503245792127,0.4264705882352941
control,20260917,Bearing1_2,2,-0.018705020056051368,0.043817864395404124,0.06252288445145548,0.01570272211531626,0.003909111080130054,0.2489448040551613,0.011793611035186205,0.09856675280315143,0.09545755605962675,0.96845592803758,0.1608181918048404,0.2902362587858305,0.4485294117647059
control,20260917,Bearing1_2,3,-0.019174781299250966,0.04893211045247667,0.06810689175172764,0.02050649476713596,0.004638548704081547,0.22619900459611264,0.015867946063054413,0.10583322759560515,0.10978381359100574,1.0373284089047723,0.12261152755961895,0.22599070437218868,0.45588235294117646
control,20260917,Bearing1_2,4,0.018853977541713154,-0.07626100281691726,-0.09511498035863042,0.027525365134332968,0.00904685948862265,0.32867355054041814,0.01847850564571032,0.09939308360798049,0.14860078144772995,1.495081710452119,0.22450748485890765,0.29371696925499513,0.4264705882352941
control,20260917,Bearing1_2,5,0.018750568742261213,-0.055425195845172685,-0.0741757645874339,0.024332117155245317,0.005502044052130413,0.22612270099744805,0.0188300731031149,0.11224832255576471,0.11914072158644105,1.0614031361337468,0.09770403475832241,0.1945115334964147,0.5367647058823529
control,20260917,Bearing1_2,6,-0.018850079354117897,0.01882091005716254,0.037670989411280435,0.013582570335625006,0.0014191034432248027,0.10447974191620502,0.012163466892400205,0.09495086566423977,0.09585902344470204,1.0095645023782474,0.25633427824751087,0.3047639124227629,0.5220588235294118
control,20260917,Bearing1_2,7,0.018929158994818434,-0.05275054506080992,-0.07167970405562836,0.019478556002532427,0.005137979973502464,0.263776225138787,0.014340576029029961,0.09454709739992856,0.11778644580324923,1.2457965293743458,0.18649665160708054,0.2732446246844549,0.4485294117647059
control,20260917,Bearing1_3,0,0.01836346597515775,0.06030045713024928,0.04193699115509153,0.013331831491152494,0.0017587112271422252,0.13191820105957477,0.011573120264010268,0.05197120296894692,0.1207659274103968,2.323708525326133,0.7318724506488713,0.17091328973842232,0.5413533834586466
control,20260917,Bearing1_3,1,0.018530929923281633,0.007030197160136431,-0.011500732763145203,0.01385857690253966,0.0001322668540892815,0.009544043015343291,0.01372631004845038,0.05180046545890182,0.11740203428511062,2.266428172894637,0.48596139474573746,0.20704414075506364,0.48120300751879697
control,20260917,Bearing1_3,2,-0.017978365259959286,-0.025221443658036396,-0.007243078398077111,0.009237820436439814,5.246218468069129e-05,0.005679065212584909,0.009185358251759123,0.051454829275771594,0.09786399346939031,1.9019399120904534,0.5641223846366544,0.22815778752586408,0.47368421052631576
control,20260917,Bearing1_3,3,-0.01769648995110415,-0.03704770984954404,-0.019351219898439888,0.010415984402981502,0.00037446971155777586,0.03595144703275348,0.010041514691423727,0.05096864365877131,0.10451434130597909,2.0505615571348046,0.5976331166445443,0.19201114381601256,0.5263157894736842
control,20260917,Bearing1_3,4,0.017882987996913437,0.05850489516007273,0.04062190716315929,0.018755672084909462,0.0016501393415723322,0.08798081636861256,0.017105532743337135,0.05299809020658963,0.14230626662793527,2.685120653842755,0.7661995750450155,0.17087063049214418,0.518796992481203
control,20260917,Bearing1_3,5,0.016867071124059812,0.03820697319014628,0.021339902066086467,0.010666187561546392,0.00045539142019016145,0.04269486332979302,0.010210796141356232,0.052005945745083056,0.10501739425077271,2.0193343808328237,0.5670086276561843,0.18475774821874066,0.5338345864661654
control,20260917,Bearing1_3,6,-0.018371613402115673,-0.028332428712593883,-0.00996081531047821,0.01282088713472177,9.921784164945713e-05,0.00773876570372057,0.012721669293072311,0.05313784415068053,0.11464071063123059,2.157421183782865,0.5569489176218145,0.18995261992528858,0.49624060150375937
control,20260917,Bearing1_3,7,0.018447324773646835,0.027381586961280135,0.0089342621876333,0.01134253321143317,7.982104083737415e-05,0.007037320442395996,0.011262712170595796,0.051753997052219156,0.10446967946747887,2.018581856819102,0.41998822284585546,0.12714096869351868,0.49624060150375937
control,20260917,Bearing1_4,0,0.02769120390882197,0.05989477714312445,0.03220357323430248,0.05874868333268703,0.0010370701290570831,0.017652653135803477,0.05771161320362995,0.19424348193790994,0.14026300822552631,0.7220989184613231,-0.0178163621215748,-0.09558391613239328,0.5876288659793815
control,20260917,Bearing1_4,1,0.029222713303320186,0.013203202756409793,-0.016019510546910393,0.05237083252033649,0.0002566247181625733,0.00490014586006288,0.05211420780217392,0.206081935558844,0.08382965456662957,0.40677827651076726,-0.0338318027952943,-0.10792795503257335,0.5051546391752577
control,20260917,Bearing1_4,2,-0.029057389067620346,-0.030146842764824936,-0.0010894536972045898,0.05140854801735245,1.1869093583527501e-06,2.308778217101406e-05,0.0514073611079941,0.20150903663150546,0.09400434752978218,0.4665018954047484,-0.024206324863393344,-0.10469953694440479,0.5360824742268041
control,20260917,Bearing1_4,3,-0.028685327964959685,0.0048608543332090085,0.03354618229816869,0.06479745886122415,0.0011253463467819666,0.017367137022951867,0.06367211251444219,0.18997913507350514,0.15187711371487286,0.7994410210158597,-0.07811590125069935,-0.09400601232478986,0.5463917525773195
control,20260917,Bearing1_4,4,0.02883754808878161,0.0540287313387566,0.025191183249974988,0.06330078912647288,0.0006345957135338204,0.01002508376737483,0.06266619341293907,0.20032639381438908,0.1448654694945469,0.7231471936182854,-0.027212617423002752,-0.09945624707587707,0.5876288659793815
control,20260917,Bearing1_4,5,0.029026343650424603,-0.04426722489681441,-0.07329356854723901,0.07785471126548042,0.005371947190388823,0.0689996418080695,0.0724827640750916,0.18998702308437723,0.1840169844991469,0.9685765980838654,-0.10939710011198013,-0.07943094049616495,0.5154639175257731
control,20260917,Bearing1_4,6,-0.02800875226246942,-0.03656679668377355,-0.008558044421304133,0.05310102966986803,7.32401243170148e-05,0.0013792599648698453,0.053027789545551,0.1956920284795073,0.11254489849579852,0.5751123301764135,-0.027931646585890132,-0.10156999580451906,0.5463917525773195
control,20260917,Bearing1_4,7,0.028310416285524664,0.07015963774366477,0.04184922145814011,0.054126432258015555,0.0017513573366524544,0.03235678509723125,0.05237507492136309,0.19692821800196197,0.12266748563421993,0.6229045632911674,-0.003847235911720789,-0.10889789907069146,0.5876288659793815
control,20260917,Bearing1_5,0,0.06293540034029219,0.052896790482379774,-0.010038609857912417,0.03897344206678097,0.00010077368787937635,0.0025857015068543525,0.03887266837890158,0.09514987414409166,0.1493287057698061,1.5694051843270744,-0.42088045347757624,-0.7164229839487891,0.5925925925925926
control,20260917,Bearing1_5,1,0.06505562696192,0.01797799269358317,-0.047077634268336825,0.04078417776521791,0.002216303648303282,0.05434224176497727,0.03856787411691462,0.09838233683289865,0.13765223939780633,1.3991560256553692,-0.628001280968471,-0.7196162586416845,0.5555555555555556
control,20260917,Bearing1_5,2,-0.05579958800916319,-0.07797604495728458,-0.022176456948121388,0.04283112296038226,0.0004917952427718813,0.011482193526113706,0.04233932771761038,0.0911785668951528,0.16737876411265393,1.8357248837341844,-0.39104570462895144,-0.7117971976442263,0.5555555555555556
control,20260917,Bearing1_5,3,-0.05935807084595716,-0.10052323934656603,-0.04116516850060887,0.03084235147344685,0.0016945710976835205,0.05494299288893163,0.029147780375763332,0.09375208745605829,0.14775943077419992,1.576065501938343,-0.012517739486840023,-0.7732630513383668,0.6666666666666666
control,20260917,Bearing1_5,4,0.05770011411772834,0.13091944620289184,0.0732193320851635,0.051861887021912335,0.005361070590997453,0.103372069526362,0.046500816430914874,0.09175084004903132,0.20491627553884842,2.2333994482158626,-0.08630036811581872,-0.7363381282333441,0.6296296296296297
control,20260917,Bearing1_5,5,0.049403366115358144,0.1639780171767429,0.11457465106138477,0.059578667515225434,0.013127350665838079,0.22033642599481368,0.04645131684938736,0.08826509755959372,0.22524384358250432,2.5519015988219693,-0.06759002951509015,-0.7638463807870536,0.37037037037037035
control,20260917,Bearing1_5,6,-0.06064552399847242,-0.054155309995015465,0.006490214003456963,0.041097356933695865,4.212287781066886e-05,0.0010249534508661351,0.041055234055885195,0.0931563510340139,0.1553507670614238,1.6676347381264542,-0.4773732090458773,-0.7213369212221622,0.6296296296296297
control,20260917,Bearing1_5,7,0.06133387651708391,0.05148538008884147,-0.009848496428242436,0.030610878432451884,9.699288189710403e-05,0.0031685755804471715,0.030513885550554773,0.09397052554621874,0.12588763254038013,1.3396501914684216,-0.3359237771953444,-0.748798564679561,0.5925925925925926
control,20260918,Bearing1_1,0,0.017288677584455937,0.028893700135605677,0.011605022551149738,0.00970130576182438,0.00013467654841269397,0.013882311486630987,0.009566629213411684,0.09038472811102373,0.07310797048988893,0.8088531328001235,0.23336285984421362,0.23614421928024787,0.6632653061224489
control,20260918,Bearing1_1,1,0.01764694186953866,0.05409014954858897,0.03644320767905031,0.01861035333994396,0.0013281073859383913,0.07136389952832516,0.01728224595400557,0.0956860147499296,0.117105139573153,1.2238480187433989,0.23258849860994157,0.12029290003148932,0.6020408163265306
control,20260918,Bearing1_1,2,-0.016201514370587408,-0.0877286252014491,-0.07152711083086169,0.018960563597624863,0.005116127583810371,0.26982993187244997,0.013844436013814493,0.09346862915069476,0.1230217894012821,1.3161826649125266,0.2810190891397466,0.13021057174023287,0.6938775510204082
control,20260918,Bearing1_1,3,-0.015487707429090324,-0.016407363268793846,-0.0009196558397035209,0.03533530284931532,8.457668635007882e-07,2.3935463836478094e-05,0.03533445708245182,0.0942177580173576,0.16582567283738,1.7600256716661649,0.058569251836235,0.017332646863556598,0.5102040816326531
control,20260918,Bearing1_1,4,0.016002673807801033,0.06728978483576556,0.05128711102796452,0.0372406829112005,0.00263036775759476,0.0706315661253261,0.03461031515360574,0.09114821874946215,0.17864274975501898,1.9599148749801885,0.1793781720054333,0.02784337807990433,0.5510204081632653
control,20260918,Bearing1_1,5,0.013817321927267678,0.07521469069986927,0.061397368772601595,0.04174245554167594,0.0037696368921988333,0.09030702298850635,0.0379728186494771,0.07925632252249773,0.18504502636421366,2.3347667476205034,-0.09704820102846469,-0.12496625857399081,0.4387755102040816
control,20260918,Bearing1_1,6,-0.01738581023350054,-0.05083754339388439,-0.03345173316038385,0.015102278809919352,0.0011190184514335245,0.07409600004858473,0.013983260358485829,0.09328513996429195,0.10030962053377537,1.0753011741438376,0.210400432306944,0.11950046490866402,0.5714285714285714
control,20260918,Bearing1_1,7,0.017151898191291457,0.02198931255510875,0.004837414363817293,0.027661644981342,2.3400577727265868e-05,0.0008459575612025151,0.027638244403614735,0.09204710232759117,0.15222360327819862,1.653757689584211,0.23505281738916295,0.11851215414607431,0.5510204081632653
control,20260918,Bearing1_2,0,0.01936926506459713,-0.0998989138752222,-0.11926817893981934,0.038576762792142845,0.014224898507620765,0.36874266988825805,0.024351864284522084,0.09664264603752887,0.18102566307143647,1.8731447295135055,0.1891544005546897,0.25897044717081535,0.4411764705882353
control,20260918,Bearing1_2,1,0.019061759990804335,-0.008092658813385403,-0.02715441880418974,0.012295003846310494,0.0007373624605933333,0.05997252785037577,0.011557641385717162,0.0940324740921585,0.08060657729928432,0.8572206365673646,0.1721604885854926,0.22702437108123927,0.5
control,20260918,Bearing1_2,2,-0.018705020056051368,0.06826417706906796,0.08696919712511932,0.02034718467856958,0.0075636412485878615,0.3717291295121616,0.012783543429981718,0.09856675280315143,0.11633337014542353,1.1802495957004282,0.14933361816674195,0.2992176413061793,0.41911764705882354
control,20260918,Bearing1_2,3,-0.019174781299250966,0.04014671199461993,0.059321493293870896,0.021820022406490242,0.0035190395666147697,0.161275708203125,0.018300982839875468,0.10583322759560515,0.1148871650180319,1.0855491004868751,0.11515873012412066,0.18383572585150762,0.45588235294117646
