arm,seed,bearing_id,split,target_start_step,target_count,feature_count,persistence_mse,raw_mse,raw_mse_ratio,raw_skill,bias_mse,bias_fraction_of_raw_mse,oracle_bias_corrected_mse,oracle_bias_corrected_mse_ratio,oracle_bias_corrected_skill,true_increment_rms,predicted_increment_rms,magnitude_ratio,flattened_cosine,through_origin_gain,positive_dot_fraction,valid_step_cosine_count,mean_step_cosine,median_step_cosine,error_bias_z_0,error_bias_z_1,error_bias_z_2,error_bias_z_3,error_bias_z_4,error_bias_z_5,error_bias_z_6,error_bias_z_7,bias_dominant_flag,magnitude_mismatch_flag,poor_direction_flag
control,20260918,Bearing1_1,train,25,98,8,0.008337866485201056,0.02554432347410579,3.0636522567787106,-2.0636522567787106,0.0017652726204974176,0.06910625847213646,0.023779050853608374,2.851934712053017,-1.851934712053017,0.09131191863716946,0.1418977812951354,1.5539897026911713,0.1130096739647718,0.1756158696457419,0.5714285714285714,98,0.11106999588706144,0.24468332917645785,0.011605022551149738,0.03644320767905031,-0.07152711083086169,-0.0009196558397035209,0.05128711102796452,0.061397368772601595,-0.03345173316038385,0.004837414363817293,False,True,False
control,20260918,Bearing1_2,train,25,136,8,0.009941434442664293,0.020248817857820827,2.0368104798761983,-1.0368104798761983,0.004762140885858231,0.23518118041735062,0.015486676971962599,1.557790986932484,-0.557790986932484,0.09970674221267233,0.11582561775154183,1.1616628442687285,0.1345700628288272,0.15632504193915692,0.4411764705882353,136,-0.03448884345862214,-0.16190076839688966,-0.11926817893981934,-0.02715441880418974,0.08696919712511932,0.059321493293870896,-0.027692299521089914,-0.08150029620703529,0.05811349921585882,-0.03557871242382509,False,False,True
control,20260918,Bearing1_3,train,25,133,8,0.0027056523627826783,0.010790707263452179,3.988209058888214,-2.988209058888214,0.0003960791021849915,0.03670557383448815,0.010394628161267187,3.8418195568098183,-2.8418195568098183,0.05201588567719172,0.10429834412720382,2.0051248338723813,0.25741951899570203,0.5161582702617653,0.48120300751879697,133,0.014696810712595702,-0.11088761616139088,0.032804806394628565,0.0027494925473417553,-0.005444182489151345,-0.021208156894584346,0.03220709413290024,0.021757616514438076,-0.0025332957170063394,-0.009401296065854175,False,True,True
control,20260918,Bearing1_4,validation,25,97,8,0.038775010512683894,0.05807504639493134,1.497744181808387,-0.497744181808387,0.0013529739667100743,0.023296993299141967,0.05672207242822127,1.4628512456409681,-0.46285124564096813,0.1969137133687847,0.1309292029525406,0.6649064745802303,-0.04184314937285389,-0.027821780934838256,0.6082474226804123,97,0.1277406768663718,0.2859033547116369,0.08243017804991339,-0.006062624688001023,0.012585224103681819,0.017181842904729943,0.014891135016667474,-0.05511375693316312,0.005548010781868217,0.015768511086395105,False,True,True
control,20260918,Bearing1_5,holdout_test,25,27,8,0.008694134652509145,0.03683894326328108,4.237217933201586,-3.2372179332015856,0.0027620047531986503,0.07497513523824817,0.03407693851008243,3.9195319456258657,-2.9195319456258657,0.09324234366696896,0.16348136704804456,1.7532953443549888,-0.046533337691812164,-0.08158668433235279,0.6666666666666666,27,0.20356545894205708,0.43847983660263995,0.012408664932957402,-0.006479852177478649,-0.05344337859639415,-0.05373812935970448,0.04552565515041351,0.11166441550961247,-0.03115177858206961,-0.02537977612680859,False,True,True
ranking,20260916,Bearing1_1,train,25,98,8,0.008337866485201056,0.024665279767280238,2.958224362438381,-1.958224362438381,0.0014435859514952886,0.058527045511572895,0.023221693815784948,2.785088230544506,-1.7850882305445062,0.09131191863716946,0.13789064936279644,1.5101057060328444,0.10667957867698016,0.16109744047728752,0.5714285714285714,98,0.0993073661806777,0.2274947378004258,0.04210515833478801,0.05511953822356098,-0.04070694421475031,-0.01270455509728315,0.02582614030689001,0.009683756918019178,0.0004693639597722462,-0.0644843683254962,False,True,False
ranking,20260916,Bearing1_2,train,25,136,8,0.009941434442664293,0.0193639432464099,1.9478017340544256,-0.9478017340544256,0.004661066026464442,0.2407085151588951,0.014702877219945459,1.4789492708262637,-0.4789492708262637,0.09970674221267233,0.11192493003688854,1.1225412399710653,0.13910272970879944,0.15614855069067565,0.4338235294117647,136,-0.043154008634501584,-0.1831331861952211,-0.05163030616719933,-0.023816384868148494,0.046464132603860515,0.0605841423932682,-0.02608399051378536,-0.07176296944346498,0.017653101507355187,-0.14860799185493412,False,False,True
ranking,20260916,Bearing1_3,train,25,133,8,0.0027056523627826783,0.012416681982266647,4.589163838290179,-3.5891638382901787,0.0017788859178242474,0.14326580324476623,0.010637796064442397,3.931693594775701,-2.931693594775701,0.05201588567719172,0.11067806029855518,2.127774214696993,0.22047904894195752,0.4691296352196136,0.46616541353383456,133,-0.018706723972065804,-0.10075167610762796,0.03183958261392843,0.01189154238068968,-0.04327466759018432,-0.023521541078623972,0.0263152355538275,0.016615271638322594,0.00479254744162685,-0.09827732397033308,False,True,True
ranking,20260916,Bearing1_4,validation,25,97,8,0.038775010512683894,0.05918277724291544,1.5263123455132488,-0.5263123455132488,0.0016249573853338072,0.02745659228974972,0.05755781985758161,1.4844050097356796,-0.48440500973567957,0.1969137133687847,0.13279106689389264,0.6743617019968455,-0.053049157582128796,-0.035774320196583234,0.5773195876288659,97,0.11355215479519186,0.28426833583097905,0.025347999690734233,9.798373758178397e-05,-0.039823447306131576,0.005865933354367915,0.02077338836856724,-0.05395355743845714,-0.020801532207076083,-0.08343613424251989,False,True,True
ranking,20260916,Bearing1_5,holdout_test,25,27,8,0.008694134652509145,0.03921763296238961,4.510814995379824,-3.5108149953798238,0.005385515656176663,0.13732383240318113,0.03383211730621294,3.891372592952528,-2.891372592952528,0.09324234366696896,0.16194796572405337,1.7368500120768986,-0.14225955824975997,-0.2470835154641499,0.6296296296296297,27,0.10722958308742553,0.36805568899347113,0.017679175706925215,0.009949813148489705,-0.09181628445232357,-0.040312528196308345,0.03439438343048096,0.12150003678268856,0.04598169829006548,-0.12065526953449955,False,True,True
