arm,seed,outer_test_bearing,epoch,health_mse,mmd2,kernel_squared_scale
source_only,20260918,Bearing3_1,1,0.2743742674589157,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,2,0.10895824506878853,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,3,0.056142847239971164,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,4,0.032471570558845995,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,5,0.01941261189058423,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,6,0.012553902948275209,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,7,0.00850004404783249,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,8,0.006319034774787724,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,9,0.005138107435777783,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,10,0.004423904302529991,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,11,0.003813810902647674,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,12,0.003335109376348555,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,13,0.0029492782894521953,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,14,0.002640601329039782,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,15,0.0023935461416840554,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,16,0.0021708754822611807,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,17,0.0019431838765740395,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,18,0.001773329940624535,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,19,0.001620007713790983,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,20,0.0014826167316641659,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,21,0.0013702445372473448,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,22,0.0012656099977903068,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,23,0.0011690412473399192,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,24,0.001081676362082362,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,25,0.0009882330137770622,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,26,0.0009155492298305035,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,27,0.0008559230889659375,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,28,0.0007812693598680198,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,29,0.00073417371022515,0.0,0.9461021423339844
source_only,20260918,Bearing3_1,30,0.0006900154578033835,0.0,0.9461021423339844
global_mmd,20260918,Bearing3_1,1,0.2790620446205139,0.3442908555269241,0.9461021423339844
global_mmd,20260918,Bearing3_1,2,0.1196411058306694,0.21804711371660232,0.9461021423339844
global_mmd,20260918,Bearing3_1,3,0.0630359947681427,0.09634085185825825,0.9461021423339844
global_mmd,20260918,Bearing3_1,4,0.044316116347908975,0.08334579654037952,0.9461021423339844
global_mmd,20260918,Bearing3_1,5,0.0328629856929183,0.0702600784599781,0.9461021423339844
global_mmd,20260918,Bearing3_1,6,0.02511463388800621,0.06727737002074718,0.9461021423339844
global_mmd,20260918,Bearing3_1,7,0.018206227291375398,0.05888166464865208,0.9461021423339844
global_mmd,20260918,Bearing3_1,8,0.013181992247700692,0.052029116451740264,0.9461021423339844
global_mmd,20260918,Bearing3_1,9,0.009364866698160768,0.04391107149422169,0.9461021423339844
global_mmd,20260918,Bearing3_1,10,0.006814943952485919,0.03506676759570837,0.9461021423339844
global_mmd,20260918,Bearing3_1,11,0.005325558036565781,0.024438989255577324,0.9461021423339844
global_mmd,20260918,Bearing3_1,12,0.004317706567235291,0.01706162914633751,0.9461021423339844
global_mmd,20260918,Bearing3_1,13,0.0036185992881655692,0.01401702156290412,0.9461021423339844
global_mmd,20260918,Bearing3_1,14,0.003144608251750469,0.009887907793745399,0.9461021423339844
global_mmd,20260918,Bearing3_1,15,0.002856882114429027,0.011262631416320801,0.9461021423339844
global_mmd,20260918,Bearing3_1,16,0.002578052913304418,0.011080525442957878,0.9461021423339844
global_mmd,20260918,Bearing3_1,17,0.0022791553288698196,0.00891168718226254,0.9461021423339844
global_mmd,20260918,Bearing3_1,18,0.002079320477787405,0.00867310562171042,0.9461021423339844
global_mmd,20260918,Bearing3_1,19,0.0018825427279807628,0.009649602556601166,0.9461021423339844
global_mmd,20260918,Bearing3_1,20,0.0017410774249583482,0.006863021804019809,0.9461021423339844
global_mmd,20260918,Bearing3_1,21,0.0015626298729330302,0.008574593067169189,0.9461021423339844
global_mmd,20260918,Bearing3_1,22,0.0014601320377551018,0.007636642456054688,0.9461021423339844
global_mmd,20260918,Bearing3_1,23,0.0013298625242896378,0.007764420844614506,0.9461021423339844
global_mmd,20260918,Bearing3_1,24,0.0012485548795666546,0.005995450424961746,0.9461021423339844
global_mmd,20260918,Bearing3_1,25,0.001171672559576109,0.004827229212969542,0.9461021423339844
global_mmd,20260918,Bearing3_1,26,0.0010622674599289894,0.006674869731068611,0.9461021423339844
