arm,seed,outer_test_bearing,held_lifetime_block,accuracy,test_samples
conditional_mmd,20260921,Bearing3_3,3,0.6666666666666666,180
conditional_mmd,20260921,Bearing3_3,4,0.5524861878453039,181
conditional_mmd,20260921,Bearing3_3,all,0.5744444444444444,900
source_only,20260924,Bearing3_1,0,0.9444444444444444,180
source_only,20260924,Bearing3_1,1,1.0,180
source_only,20260924,Bearing3_1,2,1.0,179
source_only,20260924,Bearing3_1,3,1.0,180
source_only,20260924,Bearing3_1,4,0.9834254143646409,181
source_only,20260924,Bearing3_1,all,0.9855555555555555,900
global_mmd,20260924,Bearing3_1,0,0.7722222222222223,180
global_mmd,20260924,Bearing3_1,1,0.7444444444444445,180
global_mmd,20260924,Bearing3_1,2,0.7094972067039106,179
global_mmd,20260924,Bearing3_1,3,0.6666666666666666,180
global_mmd,20260924,Bearing3_1,4,0.5414364640883977,181
global_mmd,20260924,Bearing3_1,all,0.6866666666666666,900
conditional_mmd,20260924,Bearing3_1,0,0.65,180
conditional_mmd,20260924,Bearing3_1,1,0.6722222222222223,180
conditional_mmd,20260924,Bearing3_1,2,0.659217877094972,179
conditional_mmd,20260924,Bearing3_1,3,0.6666666666666666,180
conditional_mmd,20260924,Bearing3_1,4,0.6519337016574586,181
conditional_mmd,20260924,Bearing3_1,all,0.66,900
source_only,20260924,Bearing3_2,0,0.6722222222222223,180
source_only,20260924,Bearing3_2,1,0.9,180
source_only,20260924,Bearing3_2,2,0.9776536312849162,179
source_only,20260924,Bearing3_2,3,0.9277777777777778,180
source_only,20260924,Bearing3_2,4,1.0,181
source_only,20260924,Bearing3_2,all,0.8955555555555555,900
global_mmd,20260924,Bearing3_2,0,0.2222222222222222,180
global_mmd,20260924,Bearing3_2,1,0.4888888888888889,180
global_mmd,20260924,Bearing3_2,2,0.553072625698324,179
global_mmd,20260924,Bearing3_2,3,0.6666666666666666,180
global_mmd,20260924,Bearing3_2,4,0.6464088397790055,181
global_mmd,20260924,Bearing3_2,all,0.5155555555555555,900
conditional_mmd,20260924,Bearing3_2,0,0.28888888888888886,180
conditional_mmd,20260924,Bearing3_2,1,0.40555555555555556,180
conditional_mmd,20260924,Bearing3_2,2,0.6089385474860335,179
conditional_mmd,20260924,Bearing3_2,3,0.6833333333333333,180
conditional_mmd,20260924,Bearing3_2,4,0.6850828729281768,181
conditional_mmd,20260924,Bearing3_2,all,0.5344444444444445,900
source_only,20260924,Bearing3_3,0,0.7833333333333333,180
source_only,20260924,Bearing3_3,1,1.0,180
source_only,20260924,Bearing3_3,2,1.0,179
source_only,20260924,Bearing3_3,3,0.8055555555555556,180
source_only,20260924,Bearing3_3,4,0.8839779005524862,181
source_only,20260924,Bearing3_3,all,0.8944444444444445,900
global_mmd,20260924,Bearing3_3,0,0.37222222222222223,180
global_mmd,20260924,Bearing3_3,1,0.6666666666666666,180
global_mmd,20260924,Bearing3_3,2,0.6871508379888268,179
global_mmd,20260924,Bearing3_3,3,0.6888888888888889,180
global_mmd,20260924,Bearing3_3,4,0.5911602209944752,181
global_mmd,20260924,Bearing3_3,all,0.6011111111111112,900
conditional_mmd,20260924,Bearing3_3,0,0.5666666666666667,180
conditional_mmd,20260924,Bearing3_3,1,0.7777777777777778,180
conditional_mmd,20260924,Bearing3_3,2,0.6927374301675978,179
conditional_mmd,20260924,Bearing3_3,3,0.6944444444444444,180
conditional_mmd,20260924,Bearing3_3,4,0.580110497237569,181
conditional_mmd,20260924,Bearing3_3,all,0.6622222222222223,900
