representation,stage_balanced_accuracy_mean,stage_balanced_accuracy_min,stage_macro_f1_mean,lifetime_spearman_mean,lifetime_spearman_min,lifetime_mae_mean,bearing_identity_balanced_accuracy,effective_dimension
raw,0.6229541174624776,0.3333333333333333,0.5364891758031074,0.883567579098037,0.6994792111329292,0.24795379256588249,0.30219298245614035,1.0015954391261852
early_centered,0.6155051768466402,0.34979674796747967,0.5556298982417542,0.7887453770431057,0.6704516349355416,0.21079057988844369,0.22222222222222224,1.0012404151499863
