bearing_id,dimension,target,spearman_rho,pvalue_uncorrected,sample_count
Bearing1_1,0,normalized_lifetime,0.967516219318724,4.089187062398785e-74,123
Bearing1_1,0,reconstruction_mse,0.9074628213230836,2.1418742319292287e-47,123
Bearing1_1,0,delta_z,-0.576870078414915,3.5454842461475945e-12,122
Bearing1_1,1,normalized_lifetime,0.9649043608363108,4.0726428770590167e-72,123
Bearing1_1,1,reconstruction_mse,0.9038771588138937,1.913891837775985e-46,123
Bearing1_1,1,delta_z,-0.5705188998780653,6.8756866273053106e-12,122
Bearing1_1,2,normalized_lifetime,-0.9656782448310998,1.0814805830573263e-72,123
Bearing1_1,2,reconstruction_mse,-0.9062052598315513,4.663597390084001e-47,123
Bearing1_1,2,delta_z,0.5725081868079214,5.5960842567600376e-12,122
Bearing1_1,3,normalized_lifetime,-0.966316699126801,3.5391689345709644e-73,123
Bearing1_1,3,reconstruction_mse,-0.9095394100424349,5.781903868204139e-48,123
Bearing1_1,3,delta_z,0.5770749551419101,3.4697144773150797e-12,122
Bearing1_1,4,normalized_lifetime,0.9655750602984612,1.2928818789249175e-72,123
Bearing1_1,4,reconstruction_mse,0.9034966658497893,2.4024040894313794e-46,123
Bearing1_1,4,delta_z,-0.5746891326114182,4.4580482959602714e-12,122
Bearing1_1,5,normalized_lifetime,0.9453315448014343,1.0019310238393626e-60,123
Bearing1_1,5,reconstruction_mse,0.8841366679134799,8.41752112652068e-42,123
Bearing1_1,5,delta_z,-0.5951437606775472,4.859533972460277e-13,122
Bearing1_1,6,normalized_lifetime,-0.9625375656189137,1.9678774761481136e-70,123
Bearing1_1,6,reconstruction_mse,-0.9075918019888819,1.976341615206984e-47,123
Bearing1_1,6,delta_z,0.5718406852135179,5.997354459844907e-12,122
Bearing1_1,7,normalized_lifetime,0.9632792044472535,6.0009492164197e-71,123
Bearing1_1,7,reconstruction_mse,0.9074047800234745,2.220734528786424e-47,123
Bearing1_1,7,delta_z,-0.5781918637503676,3.083422905204407e-12,122
Bearing1_2,0,normalized_lifetime,0.9791120312859444,6.467757182307867e-112,161
Bearing1_2,0,reconstruction_mse,0.9690504945939731,1.638428131959924e-98,161
Bearing1_2,0,delta_z,-0.7124633774756827,4.3592252626172984e-26,160
Bearing1_2,1,normalized_lifetime,0.9776943869335175,1.1319104568968822e-109,161
Bearing1_2,1,reconstruction_mse,0.9682855992638603,1.1073206971112903e-97,161
Bearing1_2,1,delta_z,-0.7133745458806986,3.533649371285785e-26,160
Bearing1_2,2,normalized_lifetime,-0.974821716126064,1.5400577793796113e-105,161
Bearing1_2,2,reconstruction_mse,-0.9631642512077295,1.3339095193445594e-92,161
Bearing1_2,2,delta_z,0.7099759756240478,7.700946837753947e-26,160
Bearing1_2,3,normalized_lifetime,-0.9798222912353348,4.250058047214257e-113,161
Bearing1_2,3,reconstruction_mse,-0.9651828847481022,1.6361153349551955e-94,161
Bearing1_2,3,delta_z,0.7152642681354741,2.280192575338153e-26,160
Bearing1_2,4,normalized_lifetime,0.977774902231424,8.517828332996065e-110,161
Bearing1_2,4,reconstruction_mse,0.9662180814354729,1.5467263302117506e-95,161
Bearing1_2,4,delta_z,-0.7115346302589945,5.394988438533652e-26,160
Bearing1_2,5,normalized_lifetime,0.7778726708074535,6.758766384490805e-34,161
Bearing1_2,5,reconstruction_mse,0.7481165171382564,4.019873671027344e-30,161
Bearing1_2,5,delta_z,-0.6260019922653229,8.639156043581789e-19,160
Bearing1_2,6,normalized_lifetime,-0.9788963653094088,1.4512398766995074e-111,161
Bearing1_2,6,reconstruction_mse,-0.967184265010352,1.599830982351907e-96,161
Bearing1_2,6,delta_z,0.7107435837337396,6.464831336784119e-26,160
Bearing1_2,7,normalized_lifetime,0.9784592822636302,7.279225616645321e-111,161
Bearing1_2,7,reconstruction_mse,0.9684207499424893,7.927491989077227e-98,161
Bearing1_2,7,delta_z,-0.7110453533341147,6.034157198799858e-26,160
Bearing1_3,0,normalized_lifetime,0.9527655360313011,1.225536176073854e-82,158
Bearing1_3,0,reconstruction_mse,0.7525340034897217,4.229315250652914e-30,158
Bearing1_3,0,delta_z,0.07035518702050993,0.38125347506740365,157
Bearing1_3,1,normalized_lifetime,0.9548100809451151,4.2062710357039e-84,158
Bearing1_3,1,reconstruction_mse,0.7537905467180034,3.0019082759872946e-30,158
Bearing1_3,1,delta_z,0.06865274530355558,0.39291057078238856,157
Bearing1_3,2,normalized_lifetime,-0.9547370614839075,4.757259261730989e-84,158
Bearing1_3,2,reconstruction_mse,-0.7533402600405562,3.3950743787954e-30,158
Bearing1_3,2,delta_z,-0.07224368794150299,0.36857128776645376,157
Bearing1_3,3,normalized_lifetime,-0.9659242514364297,1.7721154720473298e-93,158
Bearing1_3,3,reconstruction_mse,-0.7585489816067019,8.04278525383124e-31,158
Bearing1_3,3,delta_z,-0.06209415836119054,0.43977921112106694,157
Bearing1_3,4,normalized_lifetime,0.9515089928030194,9.046060135596565e-82,158
Bearing1_3,4,reconstruction_mse,0.7534497892323678,3.2950202199011396e-30,158
Bearing1_3,4,delta_z,0.07084514292447858,0.3779379722957807,157
Bearing1_3,5,normalized_lifetime,0.964819832085664,2.0438155285079085e-92,158
Bearing1_3,5,reconstruction_mse,0.7584607497577428,8.243899619166802e-31,158
Bearing1_3,5,delta_z,0.07218166820682341,0.3689836057547746,157
Bearing1_3,6,normalized_lifetime,-0.9494735753218561,2.0649089427677897e-80,158
Bearing1_3,6,reconstruction_mse,-0.7521932460040861,4.639685920898406e-30,158
Bearing1_3,6,delta_z,-0.07517722139184689,0.34939391891240107,157
Bearing1_3,7,normalized_lifetime,0.9507544583705404,2.929171820342918e-81,158
Bearing1_3,7,reconstruction_mse,0.7526557025917345,4.0915744018988406e-30,158
Bearing1_3,7,delta_z,0.07251037280062515,0.36680155765985234,157
Bearing1_4,0,normalized_lifetime,0.846097924466577,1.3885930257549762e-34,122
Bearing1_4,0,reconstruction_mse,-0.877563024377026,4.050765262411179e-40,122
Bearing1_4,0,delta_z,0.16726730795285186,0.06668613101203634,121
Bearing1_4,1,normalized_lifetime,0.8502945929066389,3.0145586095671283e-35,122
Bearing1_4,1,reconstruction_mse,-0.8762280211882189,7.451340632925418e-40,122
Bearing1_4,1,delta_z,0.16916406990922636,0.06361316814787638,121
Bearing1_4,2,normalized_lifetime,-0.8463953261670538,1.2480169939747772e-34,122
Bearing1_4,2,reconstruction_mse,0.8774242369168036,4.31716681517948e-40,122
Bearing1_4,2,delta_z,-0.16950277740143604,0.06307677293127546,121
Bearing1_4,3,normalized_lifetime,-0.8521781370096589,1.4957799040667054e-35,122
Bearing1_4,3,reconstruction_mse,0.8769219584893314,5.432856809833174e-40,122
Bearing1_4,3,delta_z,-0.1689743937135889,0.06391517086798439,121
Bearing1_4,4,normalized_lifetime,0.8454304228721734,1.7630272977924548e-34,122
Bearing1_4,4,reconstruction_mse,-0.8782040902647206,3.0152873634100413e-40,122
Bearing1_4,4,delta_z,0.1692250372578241,0.06351634338700869,121
Bearing1_4,5,normalized_lifetime,0.8567713410503567,2.5977676656161316e-36,122
Bearing1_4,5,reconstruction_mse,-0.8770673548762312,5.083645183174235e-40,122
Bearing1_4,5,delta_z,0.17127083051077086,0.060336400619447936,121
Bearing1_4,6,normalized_lifetime,-0.8426678915210776,4.6796402086290485e-34,122
Bearing1_4,6,reconstruction_mse,0.8754679946203336,1.0509076023185809e-39,122
Bearing1_4,6,delta_z,-0.16803956103509007,0.06542073696167157,121
Bearing1_4,7,normalized_lifetime,0.845066931904924,2.0068489720971595e-34,122
Bearing1_4,7,reconstruction_mse,-0.8765650764487594,6.392852918341094e-40,122
Bearing1_4,7,delta_z,0.16841891342636495,0.06480633802999712,121
Bearing1_5,0,normalized_lifetime,0.6507299581661402,1.7663797771513985e-07,52
Bearing1_5,0,reconstruction_mse,0.6148723640399556,1.2366453606087034e-06,52
Bearing1_5,0,delta_z,0.2462443438914027,0.0815306697056776,51
Bearing1_5,1,normalized_lifetime,0.6613164859557755,9.459392509912661e-08,52
Bearing1_5,1,reconstruction_mse,0.6258003927260308,7.013861275588462e-07,52
Bearing1_5,1,delta_z,0.2388235294117647,0.09145367070996556,51
Bearing1_5,2,normalized_lifetime,-0.6710492615043114,5.210214881350177e-08,52
Bearing1_5,2,reconstruction_mse,-0.6317766584137282,5.095897279641862e-07,52
Bearing1_5,2,delta_z,-0.24452488687782803,0.08375092998501121,51
Bearing1_5,3,normalized_lifetime,-0.6588406044565868,1.0971150728377321e-07,52
Bearing1_5,3,reconstruction_mse,-0.6183727482284642,1.0336522427322317e-06,52
Bearing1_5,3,delta_z,-0.24814479638009052,0.07913081902474228,51
Bearing1_5,4,normalized_lifetime,0.6629386152138649,8.577344262663385e-08,52
Bearing1_5,4,reconstruction_mse,0.6215316315205328,8.775720579451665e-07,52
Bearing1_5,4,delta_z,0.25819004524886874,0.06735654267053126,51
Bearing1_5,5,normalized_lifetime,0.6611457355075557,9.557031431651716e-08,52
Bearing1_5,5,reconstruction_mse,0.6203363783829933,9.338442382350036e-07,52
Bearing1_5,5,delta_z,0.26751131221719454,0.05772249757433241,51
Bearing1_5,6,normalized_lifetime,-0.6684026295569025,6.140938232510363e-08,52
Bearing1_5,6,reconstruction_mse,-0.630154529155639,5.561194782556393e-07,52
Bearing1_5,6,delta_z,-0.24352941176470586,0.08505785863466411,51
Bearing1_5,7,normalized_lifetime,0.6680611286604627,6.271807554132587e-08,52
Bearing1_5,7,reconstruction_mse,0.6337402885682575,4.58132200773603e-07,52
Bearing1_5,7,delta_z,0.24334841628959275,0.08529718961010638,51
