bearing_id,split,method,score_samples,spearman_rho,first_last_delta,backward_step_fraction,mean_absolute_step,step_std
Bearing1_1,training,euclidean,98,0.9519027854815777,7.969728788872414,0.13402061855670103,0.09293670256556785,0.1488173830972496
Bearing1_1,training,signed_axis,98,0.9519027854815777,7.972273352391199,0.13402061855670103,0.09300771380828526,0.1490347126532964
Bearing1_2,training,euclidean,136,0.996507800200372,11.887462184368832,0.15555555555555556,0.09052081832626024,0.14936681416232075
Bearing1_2,training,signed_axis,136,0.995730165545537,12.50130070696737,0.15555555555555556,0.09581923967314082,0.15284066856315567
Bearing1_3,training,euclidean,133,0.9597739259954499,11.497368904507823,0.17424242424242425,0.09312871615702628,0.08641119381509753
Bearing1_3,training,signed_axis,133,0.9588965629814019,11.499505829753659,0.17424242424242425,0.09376002960990835,0.08682264165100412
Bearing1_4,evaluation,euclidean,97,0.8531190826846202,3.0756279320841413,0.40625,0.05801202184106169,0.11622094836622794
Bearing1_4,evaluation,signed_axis,97,0.9269145802650955,4.840859269601027,0.3645833333333333,0.06999840953594462,0.11906718728379277
Bearing1_5,evaluation,euclidean,27,0.9713064713064712,6.923352326898799,0.15384615384615385,0.26890790417827903,0.23256738238665509
Bearing1_5,evaluation,signed_axis,27,0.9896214896214895,7.3479419763986815,0.11538461538461539,0.2854402837761851,0.22742622229010184
