bearing_id,lifetime_block,source_only_mean_within_block_spearman,source_dann_mean_within_block_spearman,mean_health_delta,positive_health_delta_seeds,mean_identity_reduction,positive_identity_reduction_seeds,paired_seed_count
Bearing3_1,0,-0.6504660508187573,-0.5207448603197945,0.12972119049896277,2,0.038888888888888896,2,3
Bearing3_1,1,-0.0038538301382954076,-0.13147907754601987,-0.12762524740772446,1,-0.011111111111111108,0,3
Bearing3_1,2,-0.06634987897876736,0.16832656470596924,0.23467644368473664,2,0.0,0,3
Bearing3_1,3,-0.451032837280961,-0.29214325821125386,0.1588895790697071,1,-0.011111111111111108,0,3
Bearing3_1,4,0.6592561280510122,0.7764421255738658,0.1171859975228536,3,-0.04972375690607737,1,3
Bearing3_2,0,0.08123617516156811,0.36133581218662214,0.280099637025054,3,0.15925925925925924,3,3
Bearing3_2,1,-0.18176916081158298,0.09556040595246719,0.2773295667640502,3,0.15185185185185188,3,3
Bearing3_2,2,-0.46877588107942786,-0.5715333317236883,-0.10275745064426035,1,0.05959031657355681,3,3
Bearing3_2,3,-0.3019004756500953,-0.21871527794544907,0.08318519770464626,1,0.027777777777777752,2,3
Bearing3_2,4,0.1762444169776679,0.28652373809495235,0.11027932111728447,2,0.05524861878453039,2,3
Bearing3_3,0,-0.20088855979266937,-0.2686659262001727,-0.06777736640750336,0,0.057407407407407386,2,3
Bearing3_3,1,-0.47758607922991475,-0.27436258175984196,0.2032234974700728,2,0.05000000000000001,1,3
Bearing3_3,2,-0.3857386153276564,-0.3846723435764531,0.0010662717512033015,1,0.0,0,3
Bearing3_3,3,-0.23966925829939525,-0.24208811551277296,-0.0024188572133777195,2,-0.022222222222222216,0,3
Bearing3_3,4,0.8120720720720721,0.8050640113798008,-0.007008060692271334,1,-0.13996316758747698,0,3
