seed,bearing_id,lifetime_block,lifetime_start,lifetime_end,measurement_count,source_only_within_block_spearman,source_dann_within_block_spearman,dann_minus_source_only,source_only_mean_health,source_dann_mean_health
20260918,Bearing3_1,0,0.0,0.2,508,-0.6475342452085726,-0.8106839320594394,-0.16314968685086684,-0.06904877931627584,-0.12312460393923533
20260918,Bearing3_1,1,0.2,0.4,507,0.28462125923480047,0.10543137109381547,-0.17918988814098502,-0.11918696001377801,-0.21140688945790956
20260918,Bearing3_1,2,0.4,0.6,508,-0.019516109735884857,-0.037754194246836084,-0.018238084510951227,-0.1154749376449998,-0.2052948588696052
20260918,Bearing3_1,3,0.6,0.8,507,-0.691510751382239,-0.7147932124757764,-0.023282461093537377,-0.06674387815906216,-0.060777760270608244
20260918,Bearing3_1,4,0.8,1.0,508,0.7294524400606445,0.8301092381122464,0.10065679805160188,-0.06526806549257122,-0.03842348218932161
20260918,Bearing3_2,0,0.0,0.2,499,-0.03903913851799986,0.08995716734674167,0.12899630586474153,0.19110655593863113,0.2975638075535725
20260918,Bearing3_2,1,0.2,0.4,499,0.14678339812154428,0.4129424149503827,0.2661590168288384,0.21352170300268697,0.39909289799675435
20260918,Bearing3_2,2,0.4,0.6,499,-0.4386393027017891,-0.43082048434217823,0.007818818359610846,0.1160442358207607,0.36488189057023346
20260918,Bearing3_2,3,0.6,0.8,499,0.2869322258975782,0.7309166767269478,0.4439844508293696,0.10318385760387581,0.42056582202175574
20260918,Bearing3_2,4,0.8,1.0,500,0.009615206460825842,0.11288502754011015,0.10326982107928431,0.14815796831622718,0.5488826495110989
20260918,Bearing3_3,0,0.0,0.2,74,-0.029485375786745645,-0.06890781192151053,-0.039422436134764885,0.2517958559548935,0.23152303849221081
20260918,Bearing3_3,1,0.2,0.4,74,-0.23728989263235833,-0.32884116993706025,-0.09155127730470192,0.21226235610005018,0.18700159377594655
20260918,Bearing3_3,2,0.4,0.6,74,-0.3480636801184746,-0.3820659015179562,-0.034002221399481614,-0.01858500826701119,0.016034560957671824
20260918,Bearing3_3,3,0.6,0.8,74,0.22239170677526837,0.3344390966308774,0.11204738985560903,-0.06347903765335276,-0.006729252334382083
20260918,Bearing3_3,4,0.8,1.0,75,0.8769843527738265,0.8581792318634422,-0.01880512091038422,0.2684608786304792,0.38526341001192727
20260921,Bearing3_1,0,0.0,0.2,508,-0.8284719342017474,-0.4600874333286315,0.36838450087311586,0.031118616916415258,0.05935688947481433
20260921,Bearing3_1,1,0.2,0.4,507,-0.04377410964986348,0.08281473089362906,0.12658884054349254,-0.05612223300002736,0.040425484364437166
20260921,Bearing3_1,2,0.4,0.6,508,0.033028009000182795,0.0567809526825852,0.023752943682402404,-0.05443796606397065,0.07249566831985327
20260921,Bearing3_1,3,0.6,0.8,507,-0.08638158249724363,0.4275591287810497,0.5139407112782933,0.017295208541011433,0.06917927159947991
20260921,Bearing3_1,4,0.8,1.0,508,0.4676169992183743,0.6765007116464055,0.20888371242803117,0.12903249727224742,0.34325221754375873
20260921,Bearing3_2,0,0.0,0.2,499,0.10257111813989422,0.5239301736002123,0.4213590554603181,0.328885498723549,0.44259436989953377
20260921,Bearing3_2,1,0.2,0.4,499,-0.3731319023589347,-0.06203317478330153,0.31109872757563317,0.3387321877575112,0.5718394392776585
20260921,Bearing3_2,2,0.4,0.6,499,-0.33394808894898226,-0.6188286935316415,-0.28488060458265924,0.22990005657465043,0.4098155664537617
20260921,Bearing3_2,3,0.6,0.8,499,-0.6217487505130742,-0.7097882512011975,-0.08803950068812327,0.08933967516154707,0.09887165213395693
20260921,Bearing3_2,4,0.8,1.0,500,-0.09611203244812978,0.22575344701378805,0.32186547946191785,-0.014238511055707932,0.03706256344914436
20260921,Bearing3_3,0,0.0,0.2,74,-0.21753424657534243,-0.342169566827101,-0.12463532025175855,0.23300230855474602,0.13310354434557864
20260921,Bearing3_3,1,0.2,0.4,74,-0.5999407626804886,-0.26350240651610507,0.3364383561643835,0.15490433362287445,0.12127326791350906
20260921,Bearing3_3,2,0.4,0.6,74,-0.6418511662347278,-0.3781266197704553,0.2637245464642725,-0.006996109477571539,0.04479353290957373
20260921,Bearing3_3,3,0.6,0.8,74,-0.3996001480932987,-0.5194668641243982,-0.11986671603109955,-0.052763105646984,0.006938213029423276
20260921,Bearing3_3,4,0.8,1.0,75,0.8954196301564722,0.87226173541963,-0.023157894736842155,0.3446810554464658,0.4122595540682475
20260924,Bearing3_1,0,0.0,0.2,508,-0.4753919730459519,-0.2914632155713126,0.18392875747463927,-0.3203151387668501,-0.37017410214785046
20260924,Bearing3_1,1,0.2,0.4,507,-0.2524086399998232,-0.5826833346255041,-0.33027469462568093,-0.3954681464906275,-0.4333179649516676
20260924,Bearing3_1,2,0.4,0.6,508,-0.21256153620060003,0.48595293568215864,0.6985144718827587,-0.41231921497057744,-0.42721812333178333
20260924,Bearing3_1,3,0.6,0.8,507,-0.5752061779634002,-0.5891956909390349,-0.013989512975634666,-0.3653513848546459,-0.3635094171092355
20260924,Bearing3_1,4,0.8,1.0,508,0.7806989448740178,0.8227164269629456,0.04201748208892775,-0.19225952054161255,-0.1846868410031861
20260924,Bearing3_2,0,0.0,0.2,499,0.18017654586280996,0.47012009561291246,0.2899435497501025,0.4520490752581604,0.49138048544287205
20260924,Bearing3_2,1,0.2,0.4,499,-0.3189589781973585,-0.0642280223096796,0.2547309558876789,0.46417844588149765,0.5660465486302882
20260924,Bearing3_2,2,0.4,0.6,499,-0.6337402515875122,-0.6649508172972449,-0.031210565709732685,0.22795313119679272,0.38825580803210846
