bearing_id,split,method,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed,next_step_mse
Bearing1_1,train,distance_baseline,108,0.9640553697828841,8.47518014907837,0.08950172183669616,0.14249793513879866,0.1308411214953271,False,
Bearing1_1,train,centered_hmm,108,0.9162929304932526,0.9999999999999996,0.03668372123894787,0.1111161453853201,0.19626168224299065,False,
Bearing1_1,train,predictive_gru,108,0.9637314584583725,3.7489440798759457,0.037926343202750096,0.06199389164535175,0.1308411214953271,False,0.024589307606220245
Bearing1_2,train,distance_baseline,146,0.9940231170408648,11.911071479320526,0.08577041667083214,0.14593033951610374,0.19310344827586207,False,
Bearing1_2,train,centered_hmm,146,0.8313675630680473,1.0,0.006896551991112253,0.05831562650273363,0.006896551724137931,False,
Bearing1_2,train,predictive_gru,146,0.9988624642110034,4.305887141823769,0.029784874438211834,0.05638584408558571,0.06896551724137931,False,0.020000306889414787
Bearing1_3,train,distance_baseline,143,0.9543771955743785,11.847296439111233,0.08903463599337659,0.08458392907171333,0.1619718309859155,False,
Bearing1_3,train,centered_hmm,143,0.9460936350184548,1.0,0.009367864408849035,0.0620826359347327,0.028169014084507043,False,
Bearing1_3,train,predictive_gru,143,0.9663728290488852,4.239318931102753,0.030198933415009947,0.031300195838075966,0.1619718309859155,False,0.012814543209969997
Bearing1_4,validation,distance_baseline,107,0.8489488430415958,3.255563497543335,0.0544970766553339,0.11083335698297077,0.3867924528301887,False,
Bearing1_4,validation,centered_hmm,107,0.962268288705045,1.0,0.010050572176457015,0.06365236692128799,0.009433962264150943,False,
Bearing1_4,validation,predictive_gru,107,0.8941495718960011,0.7399174630641937,0.013775419120518669,0.025156477182763856,0.3584905660377358,False,0.05524745211005211
Bearing1_5,holdout_test,distance_baseline,37,0.9502133712660028,6.901375442743301,0.19881385233667162,0.2315434123086962,0.2222222222222222,False,
Bearing1_5,holdout_test,centered_hmm,37,0.8962683085662442,0.5,0.013888888888888888,0.08162680315054809,0.0,False,
Bearing1_5,holdout_test,predictive_gru,37,0.9321953532479847,2.828632101416588,0.07891263030469417,0.09588183369816278,0.2222222222222222,False,0.031288132071495056
