epoch,train_next_step_mse,validation_next_step_mse,gradient_norm_before_clip
1,0.9120597243309021,0.8242915272712708,1.151660680770874
2,0.8993216156959534,0.8128713965415955,1.1471455097198486
3,0.8866226077079773,0.801502525806427,1.142390251159668
4,0.8739689588546753,0.7901865243911743,1.1373906135559082
5,0.8613665103912354,0.7789229154586792,1.1321665048599243
6,0.8488196730613708,0.7677106261253357,1.1267365217208862
7,0.8363324999809265,0.756549596786499,1.1211168766021729
8,0.823908269405365,0.7454420924186707,1.1153217554092407
9,0.8115501403808594,0.7343906760215759,1.1093653440475464
10,0.7992603778839111,0.7233989834785461,1.1032609939575195
11,0.7870413064956665,0.7124713063240051,1.0970207452774048
12,0.7748949527740479,0.7016130685806274,1.0906546115875244
13,0.7628231048583984,0.6908299326896667,1.084169626235962
14,0.750827431678772,0.6801276803016663,1.0775706768035889
15,0.7389099597930908,0.6695122122764587,1.0708608627319336
16,0.727072536945343,0.6589889526367188,1.064042091369629
17,0.7153171300888062,0.6485627293586731,1.0571154356002808
18,0.7036458253860474,0.6382378339767456,1.0500825643539429
19,0.6920605897903442,0.6280182003974915,1.0429455041885376
20,0.6805636882781982,0.6179069876670837,1.0357071161270142
21,0.6691566705703735,0.6079071760177612,1.0283706188201904
22,0.6578413844108582,0.5980212092399597,1.0209403038024902
23,0.646619439125061,0.5882506966590881,1.0134209394454956
24,0.6354921460151672,0.5785972476005554,1.0058175325393677
25,0.6244605779647827,0.5690627694129944,0.9981351494789124
26,0.6135267019271851,0.5596520304679871,0.9903804063796997
27,0.6026967167854309,0.5503686666488647,0.9825623631477356
28,0.5919753313064575,0.5412151217460632,0.9746901392936707
29,0.5813665986061096,0.5321929454803467,0.9667719602584839
30,0.5708735585212708,0.5233029723167419,0.958815336227417
31,0.5604987740516663,0.5145450234413147,0.950827419757843
32,0.5502442121505737,0.5059186816215515,0.9428141117095947
33,0.5401111841201782,0.49742284417152405,0.9347809553146362
34,0.5301007628440857,0.48905619978904724,0.9267323017120361
35,0.5202133655548096,0.48081693053245544,0.9186719655990601
36,0.5104494094848633,0.472703218460083,0.9106027483940125
37,0.5008087754249573,0.4647129476070404,0.9025269746780396
38,0.491291344165802,0.4568442106246948,0.8944461941719055
39,0.4818968176841736,0.4490947425365448,0.8863611221313477
40,0.47262462973594666,0.44146281480789185,0.8782721161842346
41,0.46347448229789734,0.43394631147384644,0.8701791167259216
42,0.4544457495212555,0.42654359340667725,0.8620816469192505
43,0.44553789496421814,0.41925305128097534,0.8539785742759705
44,0.4367504119873047,0.4120733439922333,0.8458690643310547
45,0.4280829429626465,0.40500330924987793,0.8377517461776733
46,0.41953498125076294,0.39804187417030334,0.8296254873275757
47,0.4111061990261078,0.39118847250938416,0.8214887976646423
48,0.40279635787010193,0.3844422996044159,0.8133403062820435
49,0.3946053683757782,0.3778032660484314,0.8051789402961731
50,0.3865329921245575,0.37127092480659485,0.7970036268234253
51,0.37857919931411743,0.364845335483551,0.7888135313987732
52,0.3707441985607147,0.3585264980792999,0.7806082367897034
53,0.3630278706550598,0.35231462121009827,0.7723870873451233
54,0.35543036460876465,0.34620994329452515,0.7641502618789673
55,0.34795188903808594,0.3402126133441925,0.7558978796005249
56,0.3405926823616028,0.33432310819625854,0.7476305365562439
57,0.33335283398628235,0.3285415470600128,0.7393490076065063
