seed,test_bearing,epoch,training_huber_loss
20260918,Bearing3_1,1,0.012815865258765522
20260918,Bearing3_1,2,0.0038045349655361216
20260918,Bearing3_1,3,0.0025621342135458613
20260918,Bearing3_1,4,0.0021251843081821226
20260918,Bearing3_1,5,0.0018339391650004223
20260918,Bearing3_1,6,0.001613810884665924
20260918,Bearing3_1,7,0.0015119161676271746
20260918,Bearing3_1,8,0.001286560376992444
20260918,Bearing3_1,9,0.001263176395474197
20260918,Bearing3_1,10,0.0011208201098236526
20260918,Bearing3_1,11,0.0011254288905666976
20260918,Bearing3_1,12,0.0010345279112119567
20260918,Bearing3_1,13,0.0009641118028079205
20260918,Bearing3_1,14,0.0008960959851791152
20260918,Bearing3_1,15,0.0009162054819186641
20260918,Bearing3_1,16,0.000824815225086272
20260918,Bearing3_1,17,0.0009219891979450948
20260918,Bearing3_1,18,0.0007527139020353872
20260918,Bearing3_1,19,0.0007085680179350227
20260918,Bearing3_1,20,0.00076805438997375
20260918,Bearing3_1,21,0.000698371130308524
20260918,Bearing3_1,22,0.0006800392098664694
20260918,Bearing3_1,23,0.0007829942878245165
20260918,Bearing3_1,24,0.0006275800703679858
20260918,Bearing3_1,25,0.0006411790206411212
20260918,Bearing3_1,26,0.0006518550793711905
20260918,Bearing3_1,27,0.0005673774091965559
20260918,Bearing3_1,28,0.0006218056862028445
20260918,Bearing3_1,29,0.0005279521265555214
20260918,Bearing3_1,30,0.0006265637112429013
20260918,Bearing3_1,31,0.0005511924194505212
20260918,Bearing3_1,32,0.0005031005876541622
20260918,Bearing3_1,33,0.000533070466251244
20260918,Bearing3_1,34,0.0005041530145209305
20260918,Bearing3_1,35,0.0004599509944125262
20260918,Bearing3_1,36,0.0005504482145856058
20260918,Bearing3_1,37,0.0004423963875633528
20260918,Bearing3_1,38,0.0004380237075382753
20260918,Bearing3_1,39,0.0004562309239458171
20260918,Bearing3_1,40,0.0005011687404260943
20260918,Bearing3_1,41,0.00041286078102459057
20260918,Bearing3_1,42,0.0004189341694669698
20260918,Bearing3_1,43,0.0007264002805276968
20260918,Bearing3_1,44,0.00045068721247336964
20260918,Bearing3_1,45,0.00041687675799829846
20260918,Bearing3_1,46,0.00038213500012302033
20260918,Bearing3_1,47,0.0004780820173479568
20260918,Bearing3_1,48,0.00038634402153310424
20260918,Bearing3_1,49,0.0004010809983566227
20260918,Bearing3_1,50,0.0003794128723724215
20260918,Bearing3_2,1,0.013831944204383669
20260918,Bearing3_2,2,0.0038302335613518337
20260918,Bearing3_2,3,0.002580922237221784
20260918,Bearing3_2,4,0.0021642883764389827
20260918,Bearing3_2,5,0.0018683227565701999
20260918,Bearing3_2,6,0.0016652377099955254
20260918,Bearing3_2,7,0.0013627546780382868
20260918,Bearing3_2,8,0.001297209414416542
20260918,Bearing3_2,9,0.0011319436147968168
20260918,Bearing3_2,10,0.0010098601561137135
20260918,Bearing3_2,11,0.0009549023021870741
20260918,Bearing3_2,12,0.0008404267224723513
20260918,Bearing3_2,13,0.0008376342354499227
20260918,Bearing3_2,14,0.0007983504986858872
20260918,Bearing3_2,15,0.0007538002467817659
20260918,Bearing3_2,16,0.0006903332717618359
20260918,Bearing3_2,17,0.0007129032335549191
20260918,Bearing3_2,18,0.0006522361587540387
20260918,Bearing3_2,19,0.0006240668718837426
20260918,Bearing3_2,20,0.0005751063942761698
20260918,Bearing3_2,21,0.0005896993925159044
20260918,Bearing3_2,22,0.0005372660411448504
20260918,Bearing3_2,23,0.0005157843911036171
20260918,Bearing3_2,24,0.0005086619441297381
20260918,Bearing3_2,25,0.0005103026411877201
20260918,Bearing3_2,26,0.0004811243657853447
20260918,Bearing3_2,27,0.0004628357488413912
20260918,Bearing3_2,28,0.00046059968550304556
20260918,Bearing3_2,29,0.00044278200962704766
20260918,Bearing3_2,30,0.00044762997344045715
20260918,Bearing3_2,31,0.00040871149945831967
20260918,Bearing3_2,32,0.00041553282392722184
20260918,Bearing3_2,33,0.0003658466817599643
20260918,Bearing3_2,34,0.0003746162515471228
20260918,Bearing3_2,35,0.0003585442362272025
20260918,Bearing3_2,36,0.0003627336541991597
20260918,Bearing3_2,37,0.0003571359483761209
20260918,Bearing3_2,38,0.000317144624935447
20260918,Bearing3_2,39,0.00031462742598158437
20260918,Bearing3_2,40,0.0003232557686109873
20260918,Bearing3_2,41,0.0003182421988152334
20260918,Bearing3_2,42,0.00029458033128700175
20260918,Bearing3_2,43,0.00032824054983841876
20260918,Bearing3_2,44,0.0002978941327698554
20260918,Bearing3_2,45,0.0002772776797116929
20260918,Bearing3_2,46,0.0003013247361491086
20260918,Bearing3_2,47,0.00027067693417801014
20260918,Bearing3_2,48,0.0002726954150776949
20260918,Bearing3_2,49,0.0002489178301885306
20260918,Bearing3_2,50,0.0002572085105947569
20260918,Bearing3_3,1,0.009038323467074517
20260918,Bearing3_3,2,0.0026688059384190436
20260918,Bearing3_3,3,0.0019509789076792685
20260918,Bearing3_3,4,0.0015818957548344914
20260918,Bearing3_3,5,0.001351477029812084
20260918,Bearing3_3,6,0.0012309004423992807
20260918,Bearing3_3,7,0.0010782076701101515
20260918,Bearing3_3,8,0.0009534510894696357
20260918,Bearing3_3,9,0.0009008442907463433
20260918,Bearing3_3,10,0.0008381561400662912
20260918,Bearing3_3,11,0.000776962229894382
20260918,Bearing3_3,12,0.0006975749376834484
20260918,Bearing3_3,13,0.0006819405862014366
20260918,Bearing3_3,14,0.0006119913899301116
20260918,Bearing3_3,15,0.0006056324616605579
20260918,Bearing3_3,16,0.0005705763894171147
20260918,Bearing3_3,17,0.0005120874629589912
20260918,Bearing3_3,18,0.0005252964537853652
20260918,Bearing3_3,19,0.0004926246636030242
20260918,Bearing3_3,20,0.0004703947450156863
20260918,Bearing3_3,21,0.0004661454500439629
20260918,Bearing3_3,22,0.0004302350733376463
20260918,Bearing3_3,23,0.00041151223060871035
20260918,Bearing3_3,24,0.0004286170251347404
20260918,Bearing3_3,25,0.00041108231179592936
20260918,Bearing3_3,26,0.0003953443335958176
20260918,Bearing3_3,27,0.0003799303950767138
20260918,Bearing3_3,28,0.0003608332277694123
20260918,Bearing3_3,29,0.00035514208460362193
20260918,Bearing3_3,30,0.00033204225325500936
20260918,Bearing3_3,31,0.0003332034237252064
20260918,Bearing3_3,32,0.00034134116019508495
20260918,Bearing3_3,33,0.0003289639599763519
20260918,Bearing3_3,34,0.0003162017438383966
20260918,Bearing3_3,35,0.00031306741494043736
20260918,Bearing3_3,36,0.0002858992493332644
20260918,Bearing3_3,37,0.0002753956049509522
20260918,Bearing3_3,38,0.0002945594605989754
20260918,Bearing3_3,39,0.0002714364563001311
20260918,Bearing3_3,40,0.00027124767130993875
20260918,Bearing3_3,41,0.0002664935205696578
20260918,Bearing3_3,42,0.00025740260671851327
20260918,Bearing3_3,43,0.0002446162116682629
20260918,Bearing3_3,44,0.00026542756481258054
20260918,Bearing3_3,45,0.0002471232110516731
20260918,Bearing3_3,46,0.0002346194723215878
20260918,Bearing3_3,47,0.00023135322376720285
20260918,Bearing3_3,48,0.00024537893384992125
20260918,Bearing3_3,49,0.00023516127830400967
20260918,Bearing3_3,50,0.0002384226795852606
20260921,Bearing3_1,1,0.02216167848004128
20260921,Bearing3_1,2,0.006123016622197921
20260921,Bearing3_1,3,0.004193070945622534
20260921,Bearing3_1,4,0.0035168548109612654
20260921,Bearing3_1,5,0.0029548668691927026
20260921,Bearing3_1,6,0.0026829526071571056
20260921,Bearing3_1,7,0.0024781594834474814
20260921,Bearing3_1,8,0.0021173528892917256
20260921,Bearing3_1,9,0.001914374760857781
20260921,Bearing3_1,10,0.0018592895740540498
20260921,Bearing3_1,11,0.0018438074138257532
20260921,Bearing3_1,12,0.0015561096298303382
20260921,Bearing3_1,13,0.0014628322416489566
20260921,Bearing3_1,14,0.0013588528093942298
20260921,Bearing3_1,15,0.0012449695549724036
20260921,Bearing3_1,16,0.0012458587419937953
20260921,Bearing3_1,17,0.0011108226184339304
20260921,Bearing3_1,18,0.0011078253042173078
20260921,Bearing3_1,19,0.001003712594164424
20260921,Bearing3_1,20,0.0009976160805852423
20260921,Bearing3_1,21,0.0008896130155907798
20260921,Bearing3_1,22,0.00086343396385707
20260921,Bearing3_1,23,0.0008727246383982963
20260921,Bearing3_1,24,0.0008018679618081523
20260921,Bearing3_1,25,0.0008355657874566342
20260921,Bearing3_1,26,0.0008102990209218801
20260921,Bearing3_1,27,0.0007192579917897359
20260921,Bearing3_1,28,0.000730344877146327
20260921,Bearing3_1,29,0.0007222042119172335
20260921,Bearing3_1,30,0.0006897557279428976
20260921,Bearing3_1,31,0.0006774603470927186
20260921,Bearing3_1,32,0.000816013123813942
20260921,Bearing3_1,33,0.0008061212825511152
20260921,Bearing3_1,34,0.0006197624651934138
20260921,Bearing3_1,35,0.000581369048066041
20260921,Bearing3_1,36,0.0006114451223037592
20260921,Bearing3_1,37,0.0005377224350944943
20260921,Bearing3_1,38,0.0005497692010495203
20260921,Bearing3_1,39,0.0005538986148273633
20260921,Bearing3_1,40,0.0005072513644391687
20260921,Bearing3_1,41,0.0005031162137490338
20260921,Bearing3_1,42,0.0005089245747345627
20260921,Bearing3_1,43,0.0005122380348913098
20260921,Bearing3_1,44,0.0004420163644044263
20260921,Bearing3_1,45,0.0005473709313541182
20260921,Bearing3_1,46,0.0004889853227947608
20260921,Bearing3_1,47,0.0004556483539532049
20260921,Bearing3_1,48,0.000465608672555923
20260921,Bearing3_1,49,0.0004319235682058439
20260921,Bearing3_1,50,0.0004110941872162793
20260921,Bearing3_2,1,0.026680202398929823
20260921,Bearing3_2,2,0.007715858506272018
20260921,Bearing3_2,3,0.004975902106769484
20260921,Bearing3_2,4,0.003854435037989691
20260921,Bearing3_2,5,0.003228542219850018
20260921,Bearing3_2,6,0.0027041044030647787
20260921,Bearing3_2,7,0.002253596583825534
20260921,Bearing3_2,8,0.0020665441174543323
20260921,Bearing3_2,9,0.0019698063889260664
20260921,Bearing3_2,10,0.00171466266428095
20260921,Bearing3_2,11,0.0015891929382902245
20260921,Bearing3_2,12,0.001450553759903525
20260921,Bearing3_2,13,0.0014319359111249774
20260921,Bearing3_2,14,0.001250032568511507
