seed,bearing_id,split,readout,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed
20260916,Bearing1_1,train,hidden_distance,98,0.9514692474928115,3.619253665208816,0.040434315216909975,0.06462134425057009,0.13402061855670103,False
20260916,Bearing1_1,train,predicted_z_distance,98,0.9520302966547443,5.338817501068115,0.05972521772089692,0.09470799275230156,0.13402061855670103,False
20260916,Bearing1_1,train,prediction_residual,98,0.8138081849422054,0.2194780007004738,0.013992742533536303,0.02056884263318586,0.4020618556701031,False
20260916,Bearing1_2,train,hidden_distance,136,0.9996946710557701,4.295601871609688,0.031883035909246515,0.05787248557216425,0.05185185185185185,False
20260916,Bearing1_2,train,predicted_z_distance,136,0.9996040265254519,6.413454160094261,0.04768045962960631,0.08591450172131228,0.044444444444444446,False
20260916,Bearing1_2,train,prediction_residual,136,-0.43489337340775724,-0.08862103819847106,0.01451893147495058,0.026464548067141703,0.37037037037037035,False
20260916,Bearing1_3,train,hidden_distance,133,0.9647167443711041,4.21028411090374,0.032266770641912114,0.031536791559422794,0.17424242424242425,False
20260916,Bearing1_3,train,predicted_z_distance,133,0.9585956070637924,6.258516981452703,0.04865996128117496,0.046338074874349704,0.17424242424242425,False
20260916,Bearing1_3,train,prediction_residual,133,0.25934238581528446,0.14792784303426743,0.013503249192779716,0.01841127226870136,0.4696969696969697,False
20260916,Bearing1_4,validation,hidden_distance,97,0.8747896065642752,0.7220863476395607,0.015024617826566103,0.026371200375492416,0.3958333333333333,False
20260916,Bearing1_4,validation,predicted_z_distance,97,0.8674521354933725,1.0567743316292764,0.02292405595071614,0.039208451896068086,0.40625,False
20260916,Bearing1_4,validation,prediction_residual,97,-0.42321954555017877,0.13137480765581133,0.02143472239064674,0.058004744710408146,0.5416666666666666,False
20260916,Bearing1_5,holdout_test,hidden_distance,27,0.9358974358974359,2.8263384282588957,0.10907090541261893,0.09726514179094849,0.15384615384615385,False
20260916,Bearing1_5,holdout_test,predicted_z_distance,27,0.9487179487179487,4.171664144098759,0.16104388374548695,0.14847085267356055,0.15384615384615385,False
20260916,Bearing1_5,holdout_test,prediction_residual,27,0.669108669108669,0.10384931564331057,0.01875582520778363,0.023847536462341425,0.4230769230769231,False
