readout,bearing_id,split,rho_mean,rho_sample_std,rho_min,rho_max,collapse_count,mean_pairwise_pearson,minimum_pairwise_pearson,mean_pairwise_spearman,minimum_pairwise_spearman
hidden_distance,Bearing1_1,train,0.9517965261706056,0.0005779412567521069,0.9514564963754948,0.9524638346435105,0,0.9999363534641722,0.9999287884625815,0.9994687034451393,0.9992859374302673
hidden_distance,Bearing1_2,train,0.999615158309877,8.11497595354899e-05,0.9995324650541481,0.9996946710557701,0,0.999803276590987,0.9997076616870763,0.9998362037434599,0.9997805448213348
hidden_distance,Bearing1_3,train,0.9634245042728938,0.00209845162638959,0.9610032544046684,0.9647167443711041,0,0.9986027194863188,0.9980009438944034,0.9986465485287166,0.9981738607033187
hidden_distance,Bearing1_4,validation,0.8283715548074899,0.06321353269848944,0.756377551020408,0.8747896065642752,0,0.9976488821873923,0.9970259865175204,0.9466433480608737,0.9093072796128759
hidden_distance,Bearing1_5,holdout_test,0.9489214489214489,0.03197026409719737,0.9255189255189256,0.9853479853479853,0,0.9988573253976142,0.9982544816757135,0.9692714692714692,0.9554334554334554
predicted_z_distance,Bearing1_1,train,0.9516605142525613,0.0010388052846260149,0.9504874114594289,0.9524638346435105,0,0.9999038443757512,0.9998823229628272,0.9993794456239228,0.999183928491734
predicted_z_distance,Bearing1_2,train,0.999427508229569,0.00016779261862573473,0.9992700729927005,0.9996040265254519,0,0.9999458890316056,0.9999337423849531,0.9998028083901849,0.9997376079385525
predicted_z_distance,Bearing1_3,train,0.9600068692763116,0.0015195117483786259,0.9585956070637924,0.9616153681353995,0,0.9996784174214591,0.9994982703164192,0.9987009586381149,0.9978984095244895
predicted_z_distance,Bearing1_4,validation,0.8070779858335085,0.07037301250870612,0.7297890805806857,0.8674521354933725,0,0.9977055878231029,0.9958660686688825,0.9402482642541551,0.8937776141384387
predicted_z_distance,Bearing1_5,holdout_test,0.9253154253154253,0.0244835356441106,0.8998778998778999,0.9487179487179487,0,0.9995269781739807,0.9991144422948484,0.9837199837199838,0.9731379731379731
prediction_residual,Bearing1_1,train,0.8262150220913106,0.011722036333665652,0.8138081849422054,0.8371044762797339,0,0.9813796573633794,0.9734462314019773,0.976270170673705,0.9653679653679652
prediction_residual,Bearing1_2,train,-0.4226118346770987,0.018985789463435515,-0.43489337340775724,-0.40074423930156,0,0.9896806971773966,0.9873377479992864,0.991584370974667,0.9873431611087256
prediction_residual,Bearing1_3,train,0.24775983377711575,0.11923903664156132,0.12315218167535527,0.3607849338407076,0,0.8940013410246022,0.831445113115714,0.8893179352723735,0.8359637220595586
prediction_residual,Bearing1_4,validation,-0.43774984220492313,0.02754643210461811,-0.4695192509993688,-0.42051073006522194,0,0.9953176002302713,0.9922471417705886,0.9902342380251068,0.9851409636019354
prediction_residual,Bearing1_5,holdout_test,0.6699226699226698,0.010402424028597491,0.6599511599511599,0.6807081807081806,0,0.9824814701540953,0.9686098653916204,0.9772079772079773,0.963980463980464
