arm,seed,bearing_id,split,target_count,gru_mse,persistence_mse,mse_ratio,skill,gru_rmse,persistence_rmse,gru_win_fraction,gru_median_step_mse,persistence_median_step_mse
direct,20260917,Bearing1_1,train,98,0.02510475965685505,0.00833786647107714,3.0109332817861563,-2.0109332817861563,0.15844481580933803,0.09131191855983062,0.17346938775510204,0.02346996875712648,0.0006810361910538631
residual,20260917,Bearing1_1,train,98,0.007852032587626522,0.00833786647107714,0.9417316306112714,0.05826836938872859,0.08861169554650516,0.09131191855983062,0.3673469387755102,0.0007018959255447044,0.0006810361910538631
direct,20260917,Bearing1_2,train,136,0.019205069492294138,0.009941434409771757,1.931820771599806,-0.9318207715998059,0.1385823563527989,0.09970674204772592,0.11029411764705882,0.00881507196208986,7.018252643220535e-05
residual,20260917,Bearing1_2,train,136,0.009262379809161702,0.009941434409771757,0.9316945047746239,0.0683054952253761,0.0962412583519236,0.09970674204772592,0.39705882352941174,0.00012394413073479882,7.018252643220535e-05
direct,20260917,Bearing1_3,train,133,0.01255368662571233,0.002705652369428734,4.639800281646267,-3.6398002816462673,0.11204323551965255,0.05201588574107658,0.12781954887218044,0.007545148762574172,0.0006128351124061737
residual,20260917,Bearing1_3,train,133,0.002291203518110307,0.002705652369428734,0.8468211008918589,0.1531788991081411,0.047866517714476656,0.05201588574107658,0.5639097744360902,0.0004889411138719879,0.0006128351124061737
direct,20260917,Bearing1_4,validation,97,0.059463560953203994,0.03877501019310031,1.5335537155780048,-0.5335537155780048,0.2438515141499105,0.19691371255730342,0.09278350515463918,0.00773727499472443,0.0009561158694850747
residual,20260917,Bearing1_4,validation,97,0.0379142431094801,0.03877501019310031,0.9778009836919817,0.02219901630801835,0.19471580087265672,0.19691371255730342,0.4948453608247423,0.0010580007510725409,0.0009561158694850747
direct,20260917,Bearing1_5,holdout_test,27,0.042072485818905575,0.008694134638168339,4.83918038653348,-3.8391803865334797,0.20511578637176023,0.09324234359006824,0.07407407407407407,0.032103372854180634,0.0004942103014400345
residual,20260917,Bearing1_5,holdout_test,27,0.006846507740413456,0.008694134638168339,0.7874858195036951,0.21251418049630488,0.08274362658485218,0.09324234359006824,0.6296296296296297,0.0008565810167056043,0.0004942103014400345
direct,20260918,Bearing1_1,train,98,0.02554432344502843,0.00833786647107714,3.0636522584809933,-2.0636522584809933,0.15982591606190916,0.09131191855983062,0.17346938775510204,0.02547190627387863,0.0006810361910538631
residual,20260918,Bearing1_1,train,98,0.008011469394142448,0.00833786647107714,0.9608536454659095,0.039146354534090544,0.08950681199854259,0.09131191855983062,0.3877551020408163,0.0005203653864214175,0.0006810361910538631
direct,20260918,Bearing1_2,train,136,0.020248817621810106,0.009941434409771757,2.036810462875145,-1.036810462875145,0.14229834019344748,0.09970674204772592,0.11029411764705882,0.01074518270615954,7.018252643220535e-05
residual,20260918,Bearing1_2,train,136,0.009450265813998757,0.009941434409771757,0.9505937900379632,0.04940620996203682,0.09721247766618624,0.09970674204772592,0.29411764705882354,0.0002642591213088963,7.018252643220535e-05
direct,20260918,Bearing1_3,train,133,0.010790707287949413,0.002705652369428734,3.988209058145833,-2.988209058145833,0.1038783292508568,0.05201588574107658,0.09774436090225563,0.006971961240196833,0.0006128351124061737
residual,20260918,Bearing1_3,train,133,0.002410339417325501,0.002705652369428734,0.8908533278554241,0.10914667214457585,0.049095207681865455,0.05201588574107658,0.5112781954887218,0.0006622062810492935,0.0006128351124061737
direct,20260918,Bearing1_4,validation,97,0.058075046693593625,0.03877501019310031,1.497744201855235,-0.49774420185523494,0.24098764842537806,0.19691371255730342,0.05154639175257732,0.007189916614152025,0.0009561158694850747
residual,20260918,Bearing1_4,validation,97,0.03796387924233304,0.03877501019310031,0.9790810899409743,0.020918910059025686,0.19484321708063906,0.19691371255730342,0.4845360824742268,0.0009357113067380851,0.0009561158694850747
direct,20260918,Bearing1_5,holdout_test,27,0.03683894362590486,0.008694134638168339,4.237217981899808,-3.237217981899808,0.19193473793429072,0.09324234359006824,0.07407407407407407,0.03289557644893648,0.0004942103014400345
residual,20260918,Bearing1_5,holdout_test,27,0.006572945142699295,0.008694134638168339,0.756020629568266,0.243979370431734,0.08107370191806523,0.09324234359006824,0.5925925925925926,0.0004707326738184747,0.0004942103014400345
