seed,epochs_completed,best_epoch,best_validation_mse,initial_head_exact_zero,initial_persistence_max_absolute_difference,paired_initial_gru_max_absolute_difference
20260916,85,45,0.030707264319062233,True,0.0,0.0
20260917,115,75,0.030779346823692322,True,0.0,0.0
20260918,52,12,0.030821552500128746,True,0.0,0.0
