fold,epoch,reconstruction_loss,ranking_loss
Bearing3_3,1,0.26162698158952136,0.19697653322251582
Bearing3_3,2,0.05655228433317261,0.06190563136113036
Bearing3_3,3,0.04764280732118709,0.03752599328306397
Bearing3_3,4,0.043872675269747426,0.028412922163022904
Bearing3_3,5,0.04213569843886294,0.024020825070819277
