seed,test_bearing,iteration,contrastive_loss
20260918,Bearing3_1,1,4.708163738250732
20260918,Bearing3_1,2,2.8875572681427
20260918,Bearing3_1,3,3.365304470062256
20260918,Bearing3_1,4,2.4905312061309814
20260918,Bearing3_1,5,2.277536153793335
20260918,Bearing3_1,6,2.1356897354125977
20260918,Bearing3_1,7,3.4349348545074463
20260918,Bearing3_1,8,2.222943067550659
20260918,Bearing3_1,9,2.4786794185638428
20260918,Bearing3_1,10,1.9638608694076538
20260918,Bearing3_1,11,2.522962808609009
20260918,Bearing3_1,12,2.287862777709961
20260918,Bearing3_1,13,2.202648162841797
20260918,Bearing3_1,14,2.337249994277954
20260918,Bearing3_1,15,2.4282095432281494
20260918,Bearing3_1,16,2.0807385444641113
20260918,Bearing3_1,17,2.149348735809326
20260918,Bearing3_1,18,2.163867235183716
20260918,Bearing3_1,19,2.5292038917541504
20260918,Bearing3_1,20,2.3860929012298584
20260918,Bearing3_1,21,2.174704074859619
20260918,Bearing3_1,22,2.201768398284912
20260918,Bearing3_1,23,2.3126273155212402
20260918,Bearing3_1,24,2.2800681591033936
20260918,Bearing3_1,25,2.135100841522217
20260918,Bearing3_1,26,2.042201280593872
20260918,Bearing3_1,27,2.256385087966919
20260918,Bearing3_1,28,2.2336301803588867
20260918,Bearing3_1,29,2.0710747241973877
20260918,Bearing3_1,30,1.9451547861099243
20260918,Bearing3_1,31,2.1398544311523438
20260918,Bearing3_1,32,1.916337013244629
20260918,Bearing3_1,33,2.1116783618927
20260918,Bearing3_1,34,2.3265182971954346
20260918,Bearing3_1,35,2.124655246734619
20260918,Bearing3_1,36,2.2291481494903564
20260918,Bearing3_1,37,1.7291357517242432
20260918,Bearing3_1,38,1.9398545026779175
20260918,Bearing3_1,39,2.117902994155884
20260918,Bearing3_1,40,1.9087263345718384
20260918,Bearing3_1,41,2.171943426132202
20260918,Bearing3_1,42,2.0642659664154053
20260918,Bearing3_1,43,2.2576119899749756
20260918,Bearing3_1,44,2.206972360610962
20260918,Bearing3_1,45,2.057267904281616
20260918,Bearing3_1,46,2.0657031536102295
20260918,Bearing3_1,47,1.824515700340271
20260918,Bearing3_1,48,2.008256196975708
20260918,Bearing3_1,49,2.2267673015594482
20260918,Bearing3_1,50,2.1353402137756348
20260918,Bearing3_1,51,2.065509557723999
20260918,Bearing3_1,52,1.9296908378601074
20260918,Bearing3_1,53,1.9838043451309204
20260918,Bearing3_1,54,1.9009437561035156
20260918,Bearing3_1,55,1.9874457120895386
20260918,Bearing3_1,56,1.8093818426132202
20260918,Bearing3_1,57,1.9911082983016968
20260918,Bearing3_1,58,1.9456723928451538
20260918,Bearing3_1,59,2.0833253860473633
20260918,Bearing3_1,60,2.2065987586975098
20260918,Bearing3_1,61,2.0538671016693115
20260918,Bearing3_1,62,1.5608634948730469
20260918,Bearing3_1,63,1.9494119882583618
20260918,Bearing3_1,64,2.2482054233551025
20260918,Bearing3_1,65,2.0870652198791504
20260918,Bearing3_1,66,1.677311658859253
20260918,Bearing3_1,67,2.2236030101776123
20260918,Bearing3_1,68,2.094020366668701
20260918,Bearing3_1,69,1.8663123846054077
20260918,Bearing3_1,70,2.1726901531219482
20260918,Bearing3_1,71,1.9073766469955444
20260918,Bearing3_1,72,1.9900404214859009
20260918,Bearing3_1,73,1.232984185218811
20260918,Bearing3_1,74,2.175114154815674
20260918,Bearing3_1,75,1.9895583391189575
20260918,Bearing3_1,76,1.9400370121002197
20260918,Bearing3_1,77,2.0328361988067627
20260918,Bearing3_1,78,1.9249610900878906
20260918,Bearing3_1,79,2.0787129402160645
20260918,Bearing3_1,80,1.9342033863067627
20260918,Bearing3_1,81,1.9283443689346313
20260918,Bearing3_1,82,1.333667516708374
20260918,Bearing3_1,83,1.98172926902771
20260918,Bearing3_1,84,1.6318395137786865
20260918,Bearing3_1,85,2.000697612762451
20260918,Bearing3_1,86,1.909285545349121
20260918,Bearing3_1,87,1.700437068939209
20260918,Bearing3_1,88,1.7678884267807007
20260918,Bearing3_1,89,1.8704273700714111
20260918,Bearing3_1,90,1.8209543228149414
20260918,Bearing3_1,91,1.9923603534698486
20260918,Bearing3_1,92,1.7177163362503052
20260918,Bearing3_1,93,1.8463916778564453
20260918,Bearing3_1,94,1.7577022314071655
20260918,Bearing3_1,95,1.5633442401885986
20260918,Bearing3_1,96,1.737766146659851
20260918,Bearing3_1,97,1.901771068572998
20260918,Bearing3_1,98,1.8807872533798218
20260918,Bearing3_1,99,1.7885226011276245
20260918,Bearing3_1,100,1.758953332901001
20260918,Bearing3_1,101,1.6015523672103882
20260918,Bearing3_1,102,1.7057619094848633
20260918,Bearing3_1,103,1.8538264036178589
20260918,Bearing3_1,104,1.8647123575210571
20260918,Bearing3_1,105,1.8836543560028076
20260918,Bearing3_1,106,1.7054506540298462
20260918,Bearing3_1,107,1.9125946760177612
20260918,Bearing3_1,108,1.6103906631469727
20260918,Bearing3_1,109,1.7574671506881714
20260918,Bearing3_1,110,1.8948627710342407
20260918,Bearing3_1,111,1.698649525642395
20260918,Bearing3_1,112,1.851901650428772
20260918,Bearing3_1,113,1.6697607040405273
20260918,Bearing3_1,114,1.8577182292938232
20260918,Bearing3_1,115,1.6670749187469482
20260918,Bearing3_1,116,1.840692162513733
20260918,Bearing3_1,117,1.6952064037322998
20260918,Bearing3_1,118,1.7939937114715576
20260918,Bearing3_1,119,1.655663251876831
20260918,Bearing3_1,120,1.6203546524047852
20260918,Bearing3_1,121,1.3639928102493286
20260918,Bearing3_1,122,2.0258758068084717
20260918,Bearing3_1,123,1.897524356842041
20260918,Bearing3_1,124,1.4908777475357056
20260918,Bearing3_1,125,1.448546051979065
20260918,Bearing3_1,126,2.0097155570983887
20260918,Bearing3_1,127,1.6926475763320923
20260918,Bearing3_1,128,1.7775413990020752
