method,mean_balanced_accuracy,mean_macro_f1,mean_mae,mean_r2,mean_level_spearman,candidate_order
none,0.6279444893380419,0.588929399564254,0.1722000083020001,0.2755468269500932,0.9688431713361721,0
early_axis_std,0.44728881326148723,0.31492657237486066,0.333324491761498,-1.88349645582391,0.9688431713361721,1
early_latent_rms,0.44728881326148723,0.31492657237486066,0.32989668473554057,-1.8114457936087751,0.9688431713361721,2
