condition,fold,seed,train_bearings,validation_bearing,test_bearing,best_epoch,validation_reconstruction_mse,test_reconstruction_mse,ready_samples,level_spearman_rho,level_first_last_delta,trend_direction_accuracy,trend_noise,movement_change_spearman_rho,movement_mean,movement_max
35Hz12kN,4,20260802,Bearing1_1;Bearing1_2;Bearing1_3,Bearing1_5,Bearing1_4,5,0.6732898079431974,0.5365206003189087,107,0.8743901722212426,2.91886904835701,0.7264150943396226,0.010274485003196544,0.12790387182910548,0.25642934584311233,8.808633804321289
35Hz12kN,4,20260803,Bearing1_1;Bearing1_2;Bearing1_3,Bearing1_5,Bearing1_4,5,0.7269125718336839,0.5862717628479004,107,0.8762123082348793,1.742258369922638,0.6886792452830188,0.006473901135725643,0.09526664483462226,0.2361658328674107,7.072474479675293
35Hz12kN,5,20260801,Bearing1_2;Bearing1_3;Bearing1_4,Bearing1_1,Bearing1_5,5,0.30396903942270975,0.6590321660041809,37,0.975343764817449,17.921138271689415,0.8333333333333334,0.05735262443514215,0.6622908622908623,0.6821546542986825,3.43986439704895
35Hz12kN,5,20260802,Bearing1_2;Bearing1_3;Bearing1_4,Bearing1_1,Bearing1_5,5,0.23896231690073402,0.5850377082824707,37,0.8688952110004741,16.62787926197052,0.8611111111111112,0.049405809829643196,0.7075933075933077,0.6918907127267605,3.0741798877716064
35Hz12kN,5,20260803,Bearing1_2;Bearing1_3;Bearing1_4,Bearing1_1,Bearing1_5,5,0.24613985879634454,0.5981166362762451,37,0.8876244665718349,20.561524868011475,0.8333333333333334,0.05900015373114765,0.818018018018018,0.8561973062318724,4.636420726776123
37.5Hz11kN,1,20260801,Bearing2_3;Bearing2_4;Bearing2_5,Bearing2_2,Bearing2_1,5,0.22057298973480366,0.09654507786035538,476,0.9712743568132316,14.569867551326752,0.6863157894736842,0.00857028566158337,0.2899630263256476,0.1850393474876818,3.499279022216797
37.5Hz11kN,1,20260802,Bearing2_3;Bearing2_4;Bearing2_5,Bearing2_2,Bearing2_1,4,0.2434271176039062,0.09109813719987869,476,0.8797444220985317,16.066718325018883,0.6757894736842105,0.010248354894097759,0.34630414457588504,0.11758231074244034,3.4895408153533936
37.5Hz11kN,1,20260803,Bearing2_3;Bearing2_4;Bearing2_5,Bearing2_2,Bearing2_1,5,0.2092410237152384,0.09040950983762741,476,0.9968412707684862,14.575242936611176,0.7010526315789474,0.008740981515662908,0.36592736494997735,0.1805502812362456,3.7291078567504883
37.5Hz11kN,2,20260801,Bearing2_1;Bearing2_4;Bearing2_5,Bearing2_3,Bearing2_2,5,0.16625735281108692,0.21787723898887634,146,0.9958508864103034,9.772118225693703,0.896551724137931,0.0118901801080433,0.17494095418044403,0.2025350059752595,2.658114433288574
37.5Hz11kN,2,20260802,Bearing2_1;Bearing2_4;Bearing2_5,Bearing2_3,Bearing2_2,5,0.16874432916041834,0.24647730588912964,146,0.9951953573115595,11.32936805486679,0.8896551724137931,0.012665892648101168,0.4221579278853724,0.22727966750015136,2.875934362411499
37.5Hz11kN,2,20260803,Bearing2_1;Bearing2_4;Bearing2_5,Bearing2_3,Bearing2_2,5,0.17578075174766455,0.21295225620269775,146,0.9961670827991094,12.548047415912151,0.903448275862069,0.012945917536564926,0.4623878129428436,0.2078408974363175,3.215700387954712
37.5Hz11kN,3,20260801,Bearing2_1;Bearing2_2;Bearing2_5,Bearing2_4,Bearing2_3,5,0.2468823478335426,0.1614205539226532,518,0.9742650393246876,17.73034416139126,0.769825918762089,0.012277685251988612,0.36780112782091995,0.2402341354307521,2.0330982208251953
37.5Hz11kN,3,20260802,Bearing2_1;Bearing2_2;Bearing2_5,Bearing2_4,Bearing2_3,5,0.24372793521199906,0.16701644659042358,518,0.9762584588559253,16.73537500947714,0.769825918762089,0.012377472295535692,0.44487670613350966,0.24430480070814892,2.472262382507324
37.5Hz11kN,3,20260803,Bearing2_1;Bearing2_2;Bearing2_5,Bearing2_4,Bearing2_3,5,0.23456082883335294,0.1708514392375946,518,0.9789211576199646,21.176884204149246,0.7504835589941973,0.01446465581287629,0.4619471158313315,0.301522557318038,2.8479127883911133
37.5Hz11kN,4,20260801,Bearing2_1;Bearing2_2;Bearing2_3,Bearing2_5,Bearing2_4,4,0.38733581429385855,0.28538018465042114,27,0.9932844932844932,14.098143756389618,0.8461538461538461,0.07439834627814397,0.6376068376068377,0.7537796108259095,5.403565883636475
37.5Hz11kN,4,20260802,Bearing2_1;Bearing2_2;Bearing2_3,Bearing2_5,Bearing2_4,3,0.3772863205027791,0.2916932702064514,27,0.985958485958486,17.53431898355484,0.8461538461538461,0.09145557878433315,0.7312820512820513,0.9634199401846638,5.434082508087158
37.5Hz11kN,4,20260803,Bearing2_1;Bearing2_2;Bearing2_3,Bearing2_5,Bearing2_4,5,0.39515823380785353,0.2810780107975006,27,0.9871794871794871,10.739311397075653,0.8461538461538461,0.0556811549700937,0.6328205128205128,0.6140144776414942,3.934149742126465
37.5Hz11kN,5,20260801,Bearing2_2;Bearing2_3;Bearing2_4,Bearing2_1,Bearing2_5,5,0.11887726585272616,0.3947643041610718,324,0.988207421520115,19.046919882297516,0.7616099071207431,0.015130642980096873,0.27368150412974745,0.2842269535233945,1.86891770362854
37.5Hz11kN,5,20260802,Bearing2_2;Bearing2_3;Bearing2_4,Bearing2_1,Bearing2_5,5,0.10967827553418892,0.38662955164909363,324,0.9754534148342199,13.54740460216999,0.7987616099071208,0.009011366339269682,0.22673620681427925,0.19770315363658247,1.1758512258529663
37.5Hz11kN,5,20260803,Bearing2_2;Bearing2_3;Bearing2_4,Bearing2_1,Bearing2_5,5,0.10810489190814451,0.3861733376979828,324,0.9780917855221263,14.153151229023933,0.7770897832817337,0.009193498103662542,0.1274762638337817,0.22755487819696651,1.240882396697998
