scope,metric,n,mean,std,ci95_low,ci95_high
all,level_spearman_rho,30,0.958929099945642,0.04782816614182479,0.9410697691983987,0.9767884306928853
all,level_first_last_delta,30,15.513571325937907,6.905182130713545,12.935133942897096,18.092008708978717
all,trend_direction_accuracy,30,0.8161405011256077,0.07464041521398251,0.7882693120345339,0.8440116902166814
all,trend_noise,30,0.02554165503227708,0.022664534916215364,0.01707857860779403,0.034004731456760126
all,movement_change_spearman_rho,30,0.3792264481543267,0.20647554034215576,0.30212721430012107,0.45632568200853235
all,movement_mean,30,0.3938547375423572,0.24505027861840267,0.3023514596919634,0.48535801539275103
all,movement_max,30,3.7338279604911806,1.9608329666904458,3.001640897571377,4.466015023410984
all,test_reconstruction_mse,30,0.4057429783046246,0.2358278151677956,0.31768342490271473,0.49380253170653443
35Hz12kN,level_spearman_rho,15,0.9396786585379027,0.05587810278129659,0.9087343966399561,0.9706229204358492
35Hz12kN,level_first_last_delta,15,16.118928269545236,9.374597558132058,10.92744918225262,21.310407356837853
35Hz12kN,trend_direction_accuracy,15,0.8376895820885389,0.07030754943175314,0.7987545589805746,0.8766246051965033
35Hz12kN,trend_noise,15,0.027146509185883887,0.018482236032858507,0.016911388024041754,0.03738163034772602
35Hz12kN,movement_change_spearman_rho,15,0.3607255924997775,0.24015025192478653,0.2277348157816778,0.49371636921787715
35Hz12kN,movement_mean,15,0.4578702738951113,0.2361187891776123,0.3271120468319031,0.5886285009583195
35Hz12kN,movement_max,15,4.409095939000448,2.3170361809361544,3.12596407086005,5.692227807140846
35Hz12kN,test_reconstruction_mse,15,0.5794615149497986,0.19866091368558644,0.46944676792030937,0.6894762619792878
37.5Hz11kN,level_spearman_rho,15,0.9781795413533819,0.028670558318727047,0.9623023153701118,0.994056767336652
37.5Hz11kN,level_first_last_delta,15,14.908214382330577,3.1781378795400044,13.148220288093214,16.66820847656794
37.5Hz11kN,trend_direction_accuracy,15,0.7945914201626765,0.07484724830630952,0.75314239561372,0.836040444711633
37.5Hz11kN,trend_noise,15,0.023936800878670263,0.026775766972623693,0.00910887536798904,0.03876472638935149
37.5Hz11kN,movement_change_spearman_rho,15,0.39772730380887616,0.17292728761697967,0.30196336389371387,0.49349124372403846
37.5Hz11kN,movement_mean,15,0.3298392011896031,0.24465291875926695,0.19435493069075183,0.46532347168845434
37.5Hz11kN,movement_max,15,3.0585599819819134,1.272239678615208,2.3540171315183915,3.763102832445435
37.5Hz11kN,test_reconstruction_mse,15,0.23202444165945052,0.10520655662754745,0.1737629925475157,0.29028589077138534
