seed,bearing_id,split,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed,next_step_mse,best_epoch,best_validation_next_step_mse
20260916,Bearing1_1,train,108,0.9637314584583725,3.7489440798759457,0.037926343202750096,0.06199389164535175,0.1308411214953271,False,0.024589307606220245,300,0.05524745211005211
20260916,Bearing1_2,train,146,0.9988624642110034,4.305887141823769,0.029784874438211834,0.05638584408558571,0.06896551724137931,False,0.020000306889414787,300,0.05524745211005211
20260916,Bearing1_3,train,143,0.9663728290488852,4.239318931102753,0.030198933415009947,0.031300195838075966,0.1619718309859155,False,0.012814543209969997,300,0.05524745211005211
20260916,Bearing1_4,validation,107,0.8941495718960011,0.7399174630641937,0.013775419120518669,0.025156477182763856,0.3584905660377358,False,0.05524745211005211,300,0.05524745211005211
20260916,Bearing1_5,holdout_test,37,0.9321953532479847,2.828632101416588,0.07891263030469417,0.09588183369816278,0.2222222222222222,False,0.031288132071495056,300,0.05524745211005211
20260917,Bearing1_1,train,108,0.9644840759476787,3.971717059612274,0.03984248972384729,0.06270597114254528,0.1308411214953271,False,0.025318395346403122,300,0.05562996491789818
20260917,Bearing1_2,train,146,0.9966336652752741,4.502492916584015,0.031454001171835534,0.058470732728689793,0.08275862068965517,False,0.02016928233206272,300,0.05562996491789818
20260917,Bearing1_3,train,143,0.9504128500607373,4.500547499582171,0.03255918177518066,0.032013829998326776,0.13380281690140844,False,0.013131964951753616,300,0.05562996491789818
20260917,Bearing1_4,validation,107,0.737622210466506,0.8443735837936401,0.016582104132610295,0.02949416842004918,0.4056603773584906,False,0.05562996491789818,300,0.05562996491789818
20260917,Bearing1_5,holdout_test,37,0.8330962541488856,3.078619147837162,0.08771160854440596,0.10568027767134872,0.25,False,0.03329017758369446,300,0.05562996491789818
20260918,Bearing1_1,train,108,0.9637219316547104,3.6540343880653383,0.036888270094015886,0.05876460438885356,0.14018691588785046,False,0.026015758514404297,300,0.05477337911725044
20260918,Bearing1_2,train,146,0.9980179884896803,4.309403032064438,0.029989832869206347,0.05456428164950186,0.08275862068965517,False,0.021512681618332863,300,0.05477337911725044
20260918,Bearing1_3,train,143,0.9463992580189763,4.274959522485733,0.031312967658462657,0.029778327031413608,0.1619718309859155,False,0.012160120531916618,300,0.05477337911725044
20260918,Bearing1_4,validation,107,0.8518975685260292,0.990693563222885,0.016728408967361504,0.028831314116462076,0.37735849056603776,False,0.05477337911725044,300,0.05477337911725044
20260918,Bearing1_5,holdout_test,37,0.9288762446657182,2.906456749141216,0.08188443850311969,0.09672941676169793,0.19444444444444445,False,0.03172669559717178,300,0.05477337911725044
