bearing_id,left_seed,right_seed,pearson_r,spearman_rho,samples
Bearing1_1,20260916,20260917,0.9998763645313409,0.9994569721912602,108
Bearing1_1,20260916,20260918,0.999758419388185,0.9997618299084473,108
Bearing1_1,20260917,20260918,0.9999195005053017,0.9995712938352053,108
Bearing1_2,20260916,20260917,0.9998560400360893,0.9988316157828273,146
Bearing1_2,20260916,20260918,0.999721285013262,0.9996143946477979,146
Bearing1_2,20260917,20260918,0.9998837217578731,0.9993714632759103,146
Bearing1_3,20260916,20260917,0.9987501062196664,0.9922149446797334,143
Bearing1_3,20260916,20260918,0.9980219650817347,0.9929084999507534,143
Bearing1_3,20260917,20260918,0.9991354655361916,0.9981286319314487,143
Bearing1_4,20260916,20260917,0.9975236002570389,0.8815513626834381,107
Bearing1_4,20260916,20260918,0.9982830921864868,0.97685103548267,107
Bearing1_4,20260917,20260918,0.9968721645272178,0.9300926742295108,107
Bearing1_5,20260916,20260917,0.9999813536372641,0.9471313418681838,37
Bearing1_5,20260916,20260918,0.9984315256450867,0.9333807491702227,37
Bearing1_5,20260917,20260918,0.9983203460882386,0.9300616405879563,37
