test_bearing,train_bearings,seed,score_samples,level_spearman,level_first_last_delta,backward_step_fraction,heldout_reconstruction_mse,baseline_level_spearman,delta_vs_baseline,arm_a_level_spearman,delta_vs_arm_a
Bearing3_1,Bearing3_2+Bearing3_3,20260918,2513,-0.0072153547581187034,29.057212892753913,0.47054140127388533,0.5314743667253835,-0.3909392901133735,0.38372393535525484,-0.3887638580643895,0.3815485033062708
Bearing3_2,Bearing3_1+Bearing3_3,20260919,2471,0.9030833005817843,20.32482783502707,0.47935222672064776,0.7216010766151624,0.8944060309129552,0.00867726966882909,0.8944053333833031,0.00867796719848124
Bearing3_3,Bearing3_1+Bearing3_2,20260920,346,-0.5535019949837512,13.803217685662595,0.7014492753623188,0.2336697282816843,-0.5635379691507214,0.010035974166970218,-0.5635440529639397,0.010042057980188535
