epoch,train_mse,heldout_reconstruction_mse
1,0.3007638346511881,0.3599597411656958
2,0.058915070381295266,0.2861310054028452
3,0.04735315607229442,0.27391896157894496
4,0.04391828128889671,0.24591396311222705
5,0.04225850967267794,0.2336697282816843
