test_bearing,train_bearings,seed,score_samples,level_spearman,level_first_last_delta,backward_step_fraction,heldout_reconstruction_mse,baseline_level_spearman,delta_vs_baseline,arm_a_level_spearman,delta_vs_arm_a,base_seed
Bearing3_1,Bearing3_2+Bearing3_3,20260918,2513,-0.0072153547581187,29.057212892753917,0.4705414012738853,0.5314743667253835,-0.3909392901133735,0.3837239353552548,-0.3887638580643895,0.3815485033062708,20260918
Bearing3_2,Bearing3_1+Bearing3_3,20260919,2471,0.9030833005817844,20.32482783502707,0.4793522267206477,0.7216010766151624,0.8944060309129552,0.008677269668829,0.8944053333833031,0.0086779671984812,20260918
Bearing3_3,Bearing3_1+Bearing3_2,20260920,346,-0.5535019949837512,13.803217685662595,0.7014492753623188,0.2336697282816843,-0.5635379691507214,0.0100359741669702,-0.5635440529639397,0.0100420579801885,20260918
Bearing3_1,Bearing3_2+Bearing3_3,20260921,2513,0.2980347948689403,18.3161185399558,0.4701433121019108,0.4626643133501634,-0.3909392901133735,0.6889740849823138,-0.3887638580643895,0.6867986529333299,20260921
Bearing3_2,Bearing3_1+Bearing3_3,20260922,2471,0.9020760144749572,19.54936744524235,0.4765182186234817,0.6712907254695892,0.8944060309129552,0.0076699835620019,0.8944053333833031,0.0076706810916541,20260921
Bearing3_3,Bearing3_1+Bearing3_2,20260923,346,-0.5607214533360663,17.05295622978195,0.6811594202898551,0.2467565266591198,-0.5635379691507214,0.0028165158146551,-0.5635440529639397,0.0028225996278734,20260921
Bearing3_1,Bearing3_2+Bearing3_3,20260924,2513,-0.0872632839614195,26.120158811861547,0.482484076433121,0.4980164851796636,-0.3909392901133735,0.3036760061519539,-0.3887638580643895,0.3015005741029699,20260924
Bearing3_2,Bearing3_1+Bearing3_3,20260925,2471,0.9083859488354284,16.29246861425746,0.4870445344129555,0.6998951954719348,0.8944060309129552,0.0139799179224732,0.8944053333833031,0.0139806154521253,20260924
Bearing3_3,Bearing3_1+Bearing3_2,20260926,346,-0.557713442257732,11.527224538690596,0.6608695652173913,0.2444163217056151,-0.5635379691507214,0.0058245268929894,-0.5635440529639397,0.0058306107062077,20260924
