arm,seed,bearing_id,time_block,n,within_block_spearman,mean_prediction,median_prediction
global_mmd,20260924,Bearing3_1,0,508,-0.5640013558308001,-0.370747972807781,-0.42755326628685
global_mmd,20260924,Bearing3_1,1,507,-0.12479477965481178,-0.4301784954362602,-0.4312272071838379
global_mmd,20260924,Bearing3_1,2,508,-0.17981857021362757,-0.45490542030709935,-0.4529983401298523
global_mmd,20260924,Bearing3_1,3,507,-0.4383700859222941,-0.4439847798507359,-0.4511229395866394
global_mmd,20260924,Bearing3_1,4,508,0.7689096610450461,-0.23039130139069294,-0.41943293809890747
conditional_mmd,20260918,Bearing3_1,0,508,-0.3132554978563649,-0.10762249714489586,-0.13492003083229065
conditional_mmd,20260918,Bearing3_1,1,507,-0.144255791610491,-0.12012653680301512,-0.12261974066495895
conditional_mmd,20260918,Bearing3_1,2,508,-0.16717708649609184,-0.11029555909628944,-0.1127411276102066
conditional_mmd,20260918,Bearing3_1,3,507,-0.6782499490344539,-0.02991160158898233,-0.048308148980140686
conditional_mmd,20260918,Bearing3_1,4,508,0.7370195356984337,-0.024049648868404036,-0.056799549609422684
conditional_mmd,20260921,Bearing3_1,0,508,-0.8740871460887549,0.03270497058672229,0.018023043870925903
conditional_mmd,20260921,Bearing3_1,1,507,0.16212071182708218,-0.05292530178553489,-0.05183413624763489
conditional_mmd,20260921,Bearing3_1,2,508,0.4331739356449034,-0.02615308180803389,-0.02953507751226425
conditional_mmd,20260921,Bearing3_1,3,507,-0.4829778758886283,0.03665727376937866,0.012458816170692444
conditional_mmd,20260921,Bearing3_1,4,508,0.72217304197922,0.11076618302760162,0.033285412937402725
conditional_mmd,20260924,Bearing3_1,0,508,-0.3331514818712552,-0.3218065316634854,-0.3694743812084198
conditional_mmd,20260924,Bearing3_1,1,507,-0.009557628486987824,-0.3637283793567906,-0.3651137948036194
conditional_mmd,20260924,Bearing3_1,2,508,-0.315198623445456,-0.37167905165454534,-0.3742751330137253
conditional_mmd,20260924,Bearing3_1,3,507,-0.6461463509497639,-0.3299292055136824,-0.35383373498916626
conditional_mmd,20260924,Bearing3_1,4,508,0.7409039561571992,-0.22261774944009508,-0.33652667701244354
source_only,20260918,Bearing3_2,0,499,-0.01695699833401743,0.2190975619401626,0.2294677197933197
source_only,20260918,Bearing3_2,1,499,0.004838786005746432,0.23645172505555506,0.23893973231315613
source_only,20260918,Bearing3_2,2,499,-0.16823768017963636,0.13661918425577915,0.13300704956054688
source_only,20260918,Bearing3_2,3,499,0.6134538957432938,0.18636887602672308,0.18586090207099915
source_only,20260918,Bearing3_2,4,500,-0.03779439117756471,0.2517759629562497,0.24164049327373505
source_only,20260921,Bearing3_2,0,499,0.12303344037472536,0.32638458610476856,0.3363770842552185
source_only,20260921,Bearing3_2,1,499,-0.3273100417702875,0.34706410977668417,0.3574191629886627
source_only,20260921,Bearing3_2,2,499,-0.3420789530868967,0.2403403993748233,0.2389455884695053
source_only,20260921,Bearing3_2,3,499,-0.6265842528430354,0.10442130524433686,0.09317714720964432
source_only,20260921,Bearing3_2,4,500,-0.14118296473185893,-0.0007029238790273667,0.0018789097666740417
source_only,20260924,Bearing3_2,0,499,0.17105835767921385,0.4489132687300145,0.4684785008430481
source_only,20260924,Bearing3_2,1,499,-0.32892087790037905,0.4589908695770409,0.46422988176345825
source_only,20260924,Bearing3_2,2,499,-0.6174669338677354,0.24082083149788852,0.2674754858016968
source_only,20260924,Bearing3_2,3,499,-0.5853960451022526,-0.05117649528270733,-0.09020417183637619
source_only,20260924,Bearing3_2,4,500,0.5233739334957339,-0.0873607675805688,-0.09687025099992752
global_mmd,20260918,Bearing3_2,0,499,0.06409609580606995,0.2500363555036948,0.24558432400226593
global_mmd,20260918,Bearing3_2,1,499,0.5426160272351933,0.32847137926874276,0.33472388982772827
global_mmd,20260918,Bearing3_2,2,499,-0.6195397059178598,0.3199844252848195,0.32428812980651855
global_mmd,20260918,Bearing3_2,3,499,-0.5642158533935341,0.17292437014097203,0.1598789095878601
global_mmd,20260918,Bearing3_2,4,500,0.08819209676838707,0.16924336006492377,0.15573594719171524
global_mmd,20260921,Bearing3_2,0,499,0.3368290315570901,0.4342806208020222,0.4686899185180664
global_mmd,20260921,Bearing3_2,1,499,-0.2474116425622329,0.4940782768991524,0.5020554065704346
global_mmd,20260921,Bearing3_2,2,499,-0.3732550402008837,0.4221817398656585,0.4300253689289093
global_mmd,20260921,Bearing3_2,3,499,-0.6090826472221551,0.218475362341963,0.19748787581920624
global_mmd,20260921,Bearing3_2,4,500,0.2820347281389125,0.16640300433337687,0.1476646438241005
global_mmd,20260924,Bearing3_2,0,499,0.32841963444962213,0.49879334869986786,0.523762583732605
global_mmd,20260924,Bearing3_2,1,499,-0.3596627471811092,0.5127173059569571,0.522111177444458
global_mmd,20260924,Bearing3_2,2,499,-0.6047838327256922,0.26881767593637734,0.2966146767139435
global_mmd,20260924,Bearing3_2,3,499,-0.5709220851341237,-0.010837629474774152,-0.04408513009548187
global_mmd,20260924,Bearing3_2,4,500,0.5205920343681374,-0.08416464940458536,-0.09651820361614227
conditional_mmd,20260918,Bearing3_2,0,499,0.14313967694424992,0.330327284722057,0.33232349157333374
conditional_mmd,20260918,Bearing3_2,1,499,0.4029427529758311,0.38785589166836654,0.39474236965179443
conditional_mmd,20260918,Bearing3_2,2,499,-0.649694280126518,0.3350883166572613,0.3427838683128357
conditional_mmd,20260918,Bearing3_2,3,499,-0.6397685008571359,0.1457121488311606,0.13001899421215057
conditional_mmd,20260918,Bearing3_2,4,500,0.09266638666554666,0.10183755769208074,0.09994310885667801
conditional_mmd,20260921,Bearing3_2,0,499,0.3155644300649491,0.4212101921439171,0.4524075388908386
conditional_mmd,20260921,Bearing3_2,1,499,-0.25746693386773545,0.4926286234048182,0.5005019903182983
conditional_mmd,20260921,Bearing3_2,2,499,-0.49035903131564323,0.3885389080267392,0.3987398147583008
conditional_mmd,20260921,Bearing3_2,3,499,-0.5231172706859502,0.16143056651752793,0.13826104998588562
conditional_mmd,20260921,Bearing3_2,4,500,0.3418822315289261,0.15022550970315934,0.12581095844507217
conditional_mmd,20260924,Bearing3_2,0,499,0.30567515754400365,0.5051118942847352,0.5299054980278015
conditional_mmd,20260924,Bearing3_2,1,499,-0.37554926720911697,0.5217880223819871,0.5322479009628296
conditional_mmd,20260924,Bearing3_2,2,499,-0.6048575222734625,0.2648803645255929,0.29213666915893555
conditional_mmd,20260924,Bearing3_2,3,499,-0.4333850351305019,-0.00409698942470885,-0.03470417112112045
conditional_mmd,20260924,Bearing3_2,4,500,0.4214784539138156,-0.047539477348327634,-0.059077098965644836
source_only,20260918,Bearing3_3,0,74,-0.0215475749722325,0.2762588249217417,0.27796676754951477
source_only,20260918,Bearing3_3,1,74,-0.2690114772306552,0.22658534546860973,0.23791462928056717
source_only,20260918,Bearing3_3,2,74,-0.4041021843761569,-0.009199935867375619,-0.0318032493814826
source_only,20260918,Bearing3_3,3,74,0.28005923731951127,-0.057542084691089554,-0.06826182827353477
source_only,20260918,Bearing3_3,4,75,0.8612802275960171,0.2636042257150014,0.009382868185639381
source_only,20260921,Bearing3_3,0,74,-0.2260644205849685,0.22346292103867274,0.1973339021205902
source_only,20260921,Bearing3_3,1,74,-0.5847463902258422,0.15440420081486572,0.16155728697776794
source_only,20260921,Bearing3_3,2,74,-0.6061014439096629,0.010722466517944593,0.006994880735874176
source_only,20260921,Bearing3_3,3,74,-0.34329507589781555,-0.025771145583004564,-0.020114123821258545
source_only,20260921,Bearing3_3,4,75,0.9009388335704125,0.36173847218354543,-0.010591983795166016
source_only,20260924,Bearing3_3,0,74,-0.33242502776749344,0.2258680951152299,0.2627764344215393
source_only,20260924,Bearing3_3,1,74,-0.69489818585709,-0.003319303026875934,-0.00814574584364891
source_only,20260924,Bearing3_3,2,74,-0.3270640503517215,-0.06631965049215265,-0.06441596895456314
source_only,20260924,Bearing3_3,3,74,-0.6193409848204368,-0.09002131727096196,-0.08496472984552383
source_only,20260924,Bearing3_3,4,75,0.6794310099573256,0.08844242652257284,-0.10316954553127289
global_mmd,20260918,Bearing3_3,0,74,-0.006205109218807847,0.13858770737676201,0.11457262933254242
global_mmd,20260918,Bearing3_3,1,74,-0.09014439096630875,0.17841956565609654,0.17297521233558655
global_mmd,20260918,Bearing3_3,2,74,-0.4682858200666419,0.018548677159422957,0.0052579594776034355
global_mmd,20260918,Bearing3_3,3,74,0.0677230655312847,-0.0031586394368394,-0.0039429813623428345
global_mmd,20260918,Bearing3_3,4,75,0.8388620199146515,0.23407515317201613,0.04596772789955139
global_mmd,20260921,Bearing3_3,0,74,-0.630447982228804,0.1199366294250295,0.12313619256019592
global_mmd,20260921,Bearing3_3,1,74,-0.1133950388744909,0.05892339389066439,0.0596090704202652
global_mmd,20260921,Bearing3_3,2,74,-0.5712402813772676,-0.054667721628337294,-0.04476126283407211
global_mmd,20260921,Bearing3_3,3,74,-0.4267012217697148,-0.08663741358228631,-0.08896032720804214
global_mmd,20260921,Bearing3_3,4,75,0.8654054054054054,0.30935321559508644,-0.09266868233680725
global_mmd,20260924,Bearing3_3,0,74,-0.3265012958163642,0.21445508482488426,0.24405644834041595
global_mmd,20260924,Bearing3_3,1,74,-0.532972972972973,0.007861948345561285,0.006189465522766113
global_mmd,20260924,Bearing3_3,2,74,-0.3885227693446871,-0.05149612706658002,-0.04839838296175003
global_mmd,20260924,Bearing3_3,3,74,-0.6462051092188077,-0.07701874574696696,-0.07546354830265045
global_mmd,20260924,Bearing3_3,4,75,0.6475106685633002,0.10967557907104492,-0.09978797286748886
conditional_mmd,20260918,Bearing3_3,0,74,-0.01047019622362088,0.17599166598724755,0.1670135036110878
conditional_mmd,20260918,Bearing3_3,1,74,-0.09464642724916696,0.2245848273002618,0.2224760428071022
conditional_mmd,20260918,Bearing3_3,2,74,-0.46132543502406503,0.03838491251037733,0.03146606124937534
conditional_mmd,20260918,Bearing3_3,3,74,0.13892632358385779,0.01694945414626115,0.011444523930549622
conditional_mmd,20260918,Bearing3_3,4,75,0.8739687055476529,0.27915437939266363,0.09404443204402924
conditional_mmd,20260921,Bearing3_3,0,74,-0.605775638652351,0.13807555449170036,0.12525387853384018
conditional_mmd,20260921,Bearing3_3,1,74,0.009818585708996666,0.09592689372397759,0.09686645492911339
conditional_mmd,20260921,Bearing3_3,2,74,-0.5478711588300629,-0.02899375567967827,-0.03102431446313858
conditional_mmd,20260921,Bearing3_3,3,74,-0.4051388374676045,-0.06816838651492789,-0.06902360171079636
conditional_mmd,20260921,Bearing3_3,4,75,0.8658605974395448,0.3327039188146591,-0.07133224606513977
conditional_mmd,20260924,Bearing3_3,0,74,-0.3456645686782672,0.2089366992381779,0.22063320875167847
conditional_mmd,20260924,Bearing3_3,1,74,-0.14902628656053313,0.0181421113980783,0.0188724584877491
conditional_mmd,20260924,Bearing3_3,2,74,-0.39136616068122904,-0.0217604478066032,-0.01898224651813507
conditional_mmd,20260924,Bearing3_3,3,74,-0.5819029988893001,-0.03971025941742433,-0.03321153670549393
conditional_mmd,20260924,Bearing3_3,4,75,0.6419630156472261,0.10153018593788148,-0.0489988848567009
