arm,seed,bearing_id,full_spearman_minus_source_only,block_mean_change_minus_source_only
global_mmd,20260918,Bearing3_1,0.48775160851336613,0.03972061727137313
conditional_mmd,20260918,Bearing3_1,0.5953814250940921,0.07365258632770438
global_mmd,20260921,Bearing3_1,-0.09774708509950714,-0.019917268980675806
conditional_mmd,20260921,Bearing3_1,-0.17903762411731083,-0.04702780812274754
global_mmd,20260924,Bearing3_1,0.026362419284466705,0.08114175434686308
conditional_mmd,20260924,Bearing3_1,0.2421560033357633,0.03997386515316534
global_mmd,20260918,Bearing3_2,-0.40055982518440636,-0.11347139645485813
conditional_mmd,20260918,Bearing3_2,-0.6375976700019058,-0.2611681280460634
global_mmd,20260921,Bearing3_2,0.1463405696266149,0.05920989351515066
conditional_mmd,20260921,Bearing3_2,0.13321259829662102,0.05610282754303819
global_mmd,20260924,Bearing3_2,-0.012752757228312595,-0.04668396179386991
conditional_mmd,20260924,Bearing3_2,-0.00042270163073443445,-0.016377335322479536
global_mmd,20260918,Bearing3_3,0.10729854278241369,0.1081420450019944
conditional_mmd,20260918,Bearing3_3,0.10834028533359019,0.11581731261215636
global_mmd,20260921,Bearing3_3,0.001182270871863067,0.051141035025184245
conditional_mmd,20260921,Bearing3_3,0.012595849479598631,0.05635281317808605
global_mmd,20260924,Bearing3_3,0.0014931721565927258,0.032646162838817716
conditional_mmd,20260924,Bearing3_3,0.006635615704392417,0.03001915529236064
