seed,calibration_steps,temporal_window,ready_samples,level_spearman_rho,level_first_last_delta,trend_direction_accuracy,trend_noise,movement_change_spearman_rho,movement_mean,movement_max
20260801,5,3,117,0.5959328028293546,4.257590100169182,0.8879310344827587,0.12260570755385472,0.2647445508015223,0.2208892642878569,7.273549556732178
20260801,5,5,117,0.6048269867673725,3.2821486443281174,0.8362068965517241,0.034686752498064084,0.19926959597124516,0.2208892642878569,7.273549556732178
20260801,5,10,117,0.6252828605254087,2.5400503128767014,0.7844827586206896,0.011809435626589503,0.1873755429977319,0.2208892642878569,7.273549556732178
20260801,5,20,117,0.6492229765169566,2.250688835978508,0.7241379310344828,0.007344368127523572,0.12802829354553494,0.2208892642878569,7.273549556732178
20260801,10,3,112,0.6363993576382957,4.145170569419861,0.8828828828828829,0.12530225281539295,0.30198315198315195,0.22447271043035602,7.273549556732178
20260801,10,5,112,0.6434123757132607,3.168495535850525,0.8378378378378378,0.03503591008434663,0.29661284661284654,0.22447271043035602,7.273549556732178
20260801,10,10,112,0.6573700755116685,2.4253798723220825,0.7657657657657657,0.010234668675458832,0.23297648297648296,0.22447271043035602,7.273549556732178
20260801,10,20,112,0.6715327843646428,2.136020064353943,0.7027027027027027,0.004127738880003692,0.16152158652158652,0.22447271043035602,7.273549556732178
20260801,15,3,107,0.8062951860342091,4.198131442070007,0.8773584905660378,0.12858317275640951,0.27150162480792,0.23081952476195086,7.273549556732178
20260801,15,5,107,0.8121828405728952,3.2216118574142456,0.8018867924528302,0.0360677823414311,0.32549059122855634,0.23081952476195086,7.273549556732178
20260801,15,10,107,0.8295617077137092,2.478575348854065,0.7264150943396226,0.010302229659007605,0.21847998589314055,0.23081952476195086,7.273549556732178
20260801,15,20,107,0.8309625972295696,2.189507842063904,0.6981132075471698,0.0037474429944589797,0.16328186009018314,0.23081952476195086,7.273549556732178
20260801,20,3,102,0.8619402774086661,4.251355528831482,0.8712871287128713,0.13317860218413236,0.2613744903902155,0.2392283819396706,7.273549556732178
20260801,20,5,102,0.8630598639532714,3.27522075176239,0.7722772277227723,0.04007483649721044,0.31552708211997665,0.2392283819396706,7.273549556732178
20260801,20,10,102,0.8641002878129046,2.5324591398239136,0.7029702970297029,0.01761776487019542,0.24110658124635992,0.2392283819396706,7.273549556732178
20260801,20,20,102,0.8814369158217934,2.2436543703079224,0.693069306930693,0.014545491698980579,0.14305183459522422,0.2392283819396706,7.273549556732178
20260802,5,3,117,0.7959732649972275,4.946390047669411,0.8189655172413793,0.1461766734680952,0.204966747395533,0.24823483866122034,8.808633804321289
20260802,5,5,117,0.8046126871375262,3.768033877015114,0.8189655172413793,0.037677696532465325,0.11066774305155117,0.24823483866122034,8.808633804321289
20260802,5,10,117,0.8213969938107869,2.8532518297433853,0.7844827586206896,0.010154114343171376,0.10148771767962173,0.24823483866122034,8.808633804321289
20260802,5,20,117,0.8694046066927422,2.4407111555337906,0.7155172413793104,0.006408235204384194,0.19933879214239034,0.24823483866122034,8.808633804321289
20260802,10,3,112,0.865052789831551,4.798288255929947,0.8018018018018018,0.1496290711753003,0.19380484380484378,0.2507178085257432,8.808633804321289
20260802,10,5,112,0.871134725117026,3.6184724867343903,0.7837837837837838,0.038300448078389844,0.1353983853983854,0.2507178085257432,8.808633804321289
20260802,10,10,112,0.8838794546759148,2.701348453760147,0.7387387387387387,0.008984963294112618,0.12711477711477712,0.2507178085257432,8.808633804321289
20260802,10,20,112,0.9115813031742236,2.2854155600070953,0.6666666666666666,0.0037447671887377728,0.3043348543348543,0.2507178085257432,8.808633804321289
20260802,15,3,107,0.8671506103176002,5.018507272005081,0.8113207547169812,0.15357084338877766,0.2120714411668388,0.25642934584311233,8.808633804321289
20260802,15,5,107,0.8704422108583633,3.8377154171466827,0.8207547169811321,0.03973953325175802,0.19121344182180014,0.25642934584311233,8.808633804321289
20260802,15,10,107,0.8743901722212426,2.91886904835701,0.7264150943396226,0.010274485003196544,0.12790387182910548,0.25642934584311233,8.808633804321289
20260802,15,20,107,0.9098728423362527,2.500121384859085,0.6792452830188679,0.005737882985732995,0.3057712169685367,0.25642934584311233,8.808633804321289
20260802,20,3,102,0.8728421100248231,5.0655518770217896,0.7821782178217822,0.15765971407775797,0.23582993593476992,0.2631267308458394,8.808633804321289
20260802,20,5,102,0.8768794069584,3.8846312761306763,0.7920792079207921,0.042369773734657425,0.22585905649388469,0.2631267308458394,8.808633804321289
20260802,20,10,102,0.8844337888957371,2.965453028678894,0.7623762376237624,0.015539460971124118,0.21903319743739075,0.2631267308458394,8.808633804321289
20260802,20,20,102,0.910206897331652,2.5459662675857544,0.7029702970297029,0.012777579645651837,0.3017938264414677,0.2631267308458394,8.808633804321289
20260803,5,3,117,0.6244136732155434,3.3596126288175583,0.8275862068965517,0.11381837144281567,0.23712759005112827,0.22896673753220811,7.072474479675293
20260803,5,5,117,0.6337949017668479,2.430475875735283,0.8017241379310345,0.02904326887419566,0.2313151116749318,0.22896673753220811,7.072474479675293
20260803,5,10,117,0.6640066537787168,1.7181613892316818,0.7155172413793104,0.0070841393610147334,0.10468611847922193,0.22896673753220811,7.072474479675293
20260803,5,20,117,0.7349653074375457,1.4108339995145798,0.75,0.0041227528983204045,0.18201668396570947,0.22896673753220811,7.072474479675293
20260803,10,3,112,0.7918218471315817,3.3401879966259003,0.8288288288288288,0.11612832329369259,0.19426991926991927,0.23476201678360148,7.072474479675293
20260803,10,5,112,0.8092134485939796,2.4125592410564423,0.8018018018018018,0.0294555083912211,0.2056072306072306,0.23476201678360148,7.072474479675293
20260803,10,10,112,0.8406908805138894,1.700545996427536,0.7207207207207207,0.006438697698232372,0.16943664443664444,0.23476201678360148,7.072474479675293
20260803,10,20,112,0.8870741791095774,1.3916392028331757,0.7297297297297297,0.002622950633092153,0.289075114075114,0.23476201678360148,7.072474479675293
20260803,15,3,107,0.8606359842473402,3.3807223439216614,0.8207547169811321,0.1188386258716219,0.18394840919968763,0.2361658328674107,7.072474479675293
20260803,15,5,107,0.8629969239209232,2.4543140530586243,0.7735849056603774,0.0301543848212381,0.18774718492581305,0.2361658328674107,7.072474479675293
