bearing_id,feature,time_block,steps,within_block_spearman,mean_early_scaled_value,median_early_scaled_value
Bearing3_1,h_rms,0,508,0.3995920424851394,-0.5830801129341125,-0.8040437698364258
Bearing3_1,h_rms,1,507,-0.6332345267773072,-0.6290239691734314,-0.7853257060050964
Bearing3_1,h_rms,2,508,-0.008968328279479824,-0.8285883069038391,-0.9385074377059937
Bearing3_1,h_rms,3,507,0.5518309015662398,-0.7159774303436279,-0.8415085077285767
Bearing3_1,h_rms,4,508,0.8289325432070379,1.8454006910324097,0.8674442768096924
Bearing3_1,h_kurtosis,0,508,-0.13921467812245444,-0.8165415525436401,-0.9166089296340942
Bearing3_1,h_kurtosis,1,507,0.15304543769505718,-0.6197687387466431,-0.7422165870666504
Bearing3_1,h_kurtosis,2,508,-0.031431987812534694,-0.7098587155342102,-0.777307391166687
Bearing3_1,h_kurtosis,3,507,0.04188631267081746,-0.6848451495170593,-0.7858055830001831
Bearing3_1,h_kurtosis,4,508,-0.07244413033367515,-0.5107504725456238,-0.8049381971359253
Bearing3_1,v_rms,0,508,0.2982755515173953,-0.3950348496437073,-0.5515197515487671
Bearing3_1,v_rms,1,507,-0.45170648486162146,-0.19333411753177643,-0.28769955039024353
Bearing3_1,v_rms,2,508,-0.4042617500377815,-0.429616242647171,-0.6134843826293945
Bearing3_1,v_rms,3,507,0.5553979373272029,-0.41234683990478516,-0.6089043021202087
Bearing3_1,v_rms,4,508,0.7932740831659697,2.014549732208252,1.199629783630371
Bearing3_1,v_kurtosis,0,508,0.1372142510156145,0.08738147467374802,0.13870075345039368
Bearing3_1,v_kurtosis,1,507,0.0920297804531339,0.34566745162010193,0.44097018241882324
Bearing3_1,v_kurtosis,2,508,-0.03950390432953242,0.26680880784988403,0.3413047194480896
Bearing3_1,v_kurtosis,3,507,0.04754675709038019,0.406429260969162,0.5453751683235168
Bearing3_1,v_kurtosis,4,508,-0.4108336666005472,0.10943049192428589,0.5209662914276123
Bearing3_1,h_bpfo_band_power,0,508,0.07006565966724662,-1.0586556196212769,-1.2021145820617676
Bearing3_1,h_bpfo_band_power,1,507,-0.22245655221717162,-1.6733222007751465,-1.7367850542068481
Bearing3_1,h_bpfo_band_power,2,508,0.5433668596031349,-0.33554497361183167,-0.5655727386474609
Bearing3_1,h_bpfo_band_power,3,507,0.5304963648260201,1.2266119718551636,1.3806384801864624
Bearing3_1,h_bpfo_band_power,4,508,-0.06390547190134034,1.288072109222412,1.870192050933838
Bearing3_1,h_bpfi_band_power,0,508,0.11239793395990928,0.43771612644195557,0.49935394525527954
Bearing3_1,h_bpfi_band_power,1,507,0.26239659795080755,0.8962946534156799,0.9948137402534485
Bearing3_1,h_bpfi_band_power,2,508,0.22199184652493295,1.2202330827713013,1.2487571239471436
Bearing3_1,h_bpfi_band_power,3,507,0.4689895599357587,1.6580238342285156,1.6691027879714966
Bearing3_1,h_bpfi_band_power,4,508,0.1902663943898702,1.8374580144882202,1.795395851135254
Bearing3_1,v_bpfo_band_power,0,508,0.06805809275468075,-0.7300612330436707,-0.8027420043945312
Bearing3_1,v_bpfo_band_power,1,507,-0.15529869493211867,-1.1463185548782349,-1.1664042472839355
Bearing3_1,v_bpfo_band_power,2,508,0.031978366022506685,-1.269922137260437,-1.2850713729858398
