bearing_id,feature,steps,full_spearman
Bearing3_2,v_percentile_5,2496,-0.6775313226250324
Bearing3_2,v_percentile_50,2496,-0.4135946131125611
Bearing3_2,v_percentile_95,2496,0.7233790772155272
Bearing3_2,cross_correlation,2496,-0.9211884444777545
Bearing3_2,h_spectral_centroid,2496,0.5631242679141301
Bearing3_2,h_spectral_bandwidth,2496,-0.8258094601859712
Bearing3_2,h_spectral_rolloff,2496,-0.08032179726351789
Bearing3_2,h_spectral_flatness,2496,-0.20508343240666882
Bearing3_2,h_band_power_0_1k,2496,0.5019994156391401
Bearing3_2,h_band_power_1_3k,2496,0.15501846936533492
Bearing3_2,h_band_power_3_6k,2496,0.8493981024588453
Bearing3_2,h_band_power_6_12k,2496,0.8852867004456528
Bearing3_2,h_dominant_frequency,2496,0.04877914727220109
Bearing3_2,h_mean_frequency,2496,0.7800144752051497
Bearing3_2,h_bpfo_band_power,2496,0.7415999770095628
Bearing3_2,h_bpfi_band_power,2496,0.08563579440079137
Bearing3_2,h_bsf_band_power,2496,-0.5171698716122366
Bearing3_2,h_ftf_band_power,2496,0.23659416041040526
Bearing3_2,v_spectral_centroid,2496,0.8094343840071287
Bearing3_2,v_spectral_bandwidth,2496,-0.4845025578730945
Bearing3_2,v_spectral_rolloff,2496,0.5429999428096768
Bearing3_2,v_spectral_flatness,2496,0.7782509658016138
Bearing3_2,v_band_power_0_1k,2496,0.4226075275223132
Bearing3_2,v_band_power_1_3k,2496,-0.28528159411765835
Bearing3_2,v_band_power_3_6k,2496,0.819253199415065
Bearing3_2,v_band_power_6_12k,2496,0.8576835111027947
Bearing3_2,v_dominant_frequency,2496,0.22806429558607935
Bearing3_2,v_mean_frequency,2496,0.8539260570369044
Bearing3_2,v_bpfo_band_power,2496,0.39793751206470795
Bearing3_2,v_bpfi_band_power,2496,-0.29817578303768755
Bearing3_2,v_bsf_band_power,2496,0.3760681678813097
Bearing3_2,v_ftf_band_power,2496,0.33438333800776754
Bearing3_3,h_mean,371,0.10932562855873873
Bearing3_3,h_std,371,-0.510929014398278
Bearing3_3,h_variance,371,-0.510929014398278
Bearing3_3,h_rms,371,-0.5107774412095776
