arm,seed,bearing_id,diagnostic,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed,dynamic_range,range_normalized_step_std,range_fraction_of_real,range_flag
control,20260916,Bearing1_1,constant_after_calibration,98,0.8711351052173575,0.0024539947509765736,2.5298914958521376e-05,0.00010875332782683543,0.0,False,0.0024539947509765736,0.044316854297898056,0.0006780388936443857,False
control,20260916,Bearing1_1,shuffled_after_calibration,98,0.7579327888606239,1.0860601723194123,0.08437160800412757,0.10693334099811229,0.44329896907216493,False,1.567336344718933,0.0682261604909624,0.43305512398465834,False
control,20260916,Bearing1_2,constant_after_calibration,136,0.7600338524861918,0.0005259215831756592,3.895726468827948e-06,1.823754541089221e-05,0.0,False,0.0005259223282337161,0.03467726018049489,0.0001223284991289048,False
control,20260916,Bearing1_2,shuffled_after_calibration,136,0.4870521444587568,0.7812256664037707,0.10888382107019424,0.13328799520172488,0.4222222222222222,False,2.4136280171573166,0.055223089164628876,0.5614051295101501,False
control,20260916,Bearing1_3,constant_after_calibration,133,0.740908998591319,0.0005846671760082189,4.429296787941052e-06,2.1035339746487665e-05,0.0,False,0.0005846671760082189,0.035978314859584255,0.00013853077914861172,False
control,20260916,Bearing1_3,shuffled_after_calibration,133,0.007789147223554136,0.857842567563057,0.093996645425531,0.1175047349934511,0.4393939393939394,False,1.412689235806465,0.08317804936509685,0.3347219556043205,False
control,20260916,Bearing1_4,constant_after_calibration,97,0.7660708597360648,0.00018703415989876349,1.948334587116863e-06,6.632914342756554e-06,0.020833333333333332,False,0.00018703714013099115,0.03546308683992497,0.00019301210720891547,False
control,20260916,Bearing1_4,shuffled_after_calibration,97,-0.2847806648432569,-0.01999484598636625,0.03161105300920705,0.043448731912327655,0.5833333333333334,False,0.47591796591877944,0.09129458230989046,0.49112133235266475,False
control,20260916,Bearing1_5,constant_after_calibration,27,0.9999999999999999,0.0009978905320167514,3.8380405077567364e-05,6.846789013594753e-05,0.0,False,0.0009978905320167514,0.06861262627431981,0.00035268493151759063,False
control,20260916,Bearing1_5,shuffled_after_calibration,27,-0.2295482295482295,-0.18386275358498083,0.06412201181340677,0.08476008278930278,0.46153846153846156,False,0.6002529375255108,0.14120727695014482,0.21214768491346264,False
ranking,20260916,Bearing1_1,constant_after_calibration,98,0.8778061539353637,0.0021648600697517506,2.231814504898712e-05,9.241099856980869e-05,0.0,False,0.0021648600697517506,0.042686822978080824,0.000598988203194523,False
ranking,20260916,Bearing1_1,shuffled_after_calibration,98,0.7574609975199076,1.0590838193893435,0.08309477641410434,0.10516123808086072,0.44329896907216493,False,1.542101800441742,0.06819344744344169,0.42667921104737305,False
ranking,20260916,Bearing1_2,constant_after_calibration,136,0.791110080571649,0.0010126307606697083,7.500968597553395e-06,3.3277922077346145e-05,0.0,False,0.0010126307606697083,0.03286283941773369,0.00023608053183103858,False
ranking,20260916,Bearing1_2,shuffled_after_calibration,136,0.4884356662372978,0.762705186009407,0.10702631555221698,0.131243598542617,0.4222222222222222,False,2.3585409834980964,0.055646096235292715,0.549860453934152,False
ranking,20260916,Bearing1_3,constant_after_calibration,133,0.782104731736903,0.0009996265172958485,7.5729958938828146e-06,3.3706281426005125e-05,0.022727272727272728,False,0.0009996280074119623,0.03371882457882579,0.000238512365143473,False
ranking,20260916,Bearing1_3,shuffled_after_calibration,133,0.008442068536334052,0.8374581195414066,0.09340709323684376,0.11672467941875168,0.4318181818181818,False,1.393833427876234,0.08374363613635208,0.3325702211560671,False
ranking,20260916,Bearing1_4,constant_after_calibration,97,0.8667994336366087,0.0009641528129577526,1.0043258468309923e-05,3.530505641756063e-05,0.0,False,0.0009641528129577526,0.03661769788261524,0.0009990556688749014,False
ranking,20260916,Bearing1_4,shuffled_after_calibration,97,-0.28662160740584885,-0.019478008151054382,0.031525565730407844,0.04336593019166838,0.5833333333333334,False,0.4752059787511826,0.09125712244957832,0.49240869349143096,False
ranking,20260916,Bearing1_5,constant_after_calibration,27,0.9999999999999999,0.0017763242125511391,6.832016202119766e-05,0.00011516188360222736,0.0,False,0.0017763242125511391,0.06483156778954953,0.0006298901694594811,False
ranking,20260916,Bearing1_5,shuffled_after_calibration,27,-0.2295482295482295,-0.19009737111628044,0.06395409567138323,0.08465626317706645,0.46153846153846156,False,0.6003454528748988,0.14101258329128594,0.21288439147181426,False
control,20260917,Bearing1_1,constant_after_calibration,98,0.675305364462258,0.0014253698289394406,1.4694534318963305e-05,0.00011642228852365419,0.0,False,0.0014253698289394406,0.08167865360969458,0.000374675709200835,False
control,20260917,Bearing1_1,shuffled_after_calibration,98,0.786890576286747,1.156795173883438,0.08363398639197202,0.10552562519651602,0.4639175257731959,False,1.6768629431724547,0.06293038177400011,0.44078371781814424,False
control,20260917,Bearing1_2,constant_after_calibration,136,0.42839343538176594,9.907297790050923e-05,7.339622135515669e-07,6.8134034788880285e-06,0.014814814814814815,False,9.907893836498538e-05,0.068767425159411,2.1994619766176544e-05,False
