arm,seed,bearing_id,score_samples,spearman_rho,first_last_delta,mean_absolute_step,step_std,backward_step_fraction,collapsed,dynamic_range,range_normalized_step_std,next_step_mse
distance,0,Bearing1_1,98,0.9519027854815777,7.969729900360107,0.09293669769444417,0.14881739059520296,0.13402061855670103,False,7.969729900360107,0.018672827367522047,
distance,0,Bearing1_2,136,0.996507800200372,11.887462079524994,0.09052086273829142,0.14936682290323802,0.15555555555555556,False,11.989973068237305,0.012457644571273175,
distance,0,Bearing1_3,133,0.9597739259954499,11.497368156909943,0.09312871233983473,0.08641119300261724,0.17424242424242425,False,11.743300884962082,0.0073583393501627245,
distance,0,Bearing1_4,97,0.8531190826846202,3.0756274461746216,0.05801200494170189,0.11622092341218243,0.40625,False,3.3780420422554016,0.034404818518654595,
distance,0,Bearing1_5,27,0.9713064713064712,6.923352167010307,0.2689078960281152,0.23256739662225406,0.15384615384615385,False,6.923352167010307,0.033591732879115266,
control,20260916,Bearing1_1,98,0.9514692474928115,3.619253665208816,0.040434315216909975,0.06462134425057009,0.13402061855670103,False,3.619253665208816,0.017854881207073865,0.024589307606220245
control,20260916,Bearing1_2,136,0.9996946710557701,4.295601871609688,0.031883035909246515,0.05787248557216425,0.05185185185185185,False,4.299262493848801,0.013461026316714949,0.020000306889414787
control,20260916,Bearing1_3,133,0.9647167443711041,4.21028411090374,0.032266770641912114,0.031536791559422794,0.17424242424242425,False,4.220485725998879,0.007472313284973582,0.012814543209969997
control,20260916,Bearing1_4,97,0.8747896065642752,0.7220863476395607,0.015024617826566103,0.026371200375492416,0.3958333333333333,False,0.9690435633063317,0.027213637625861837,0.05524745211005211
control,20260916,Bearing1_5,27,0.9358974358974359,2.8263384282588957,0.10907090541261893,0.09726514179094849,0.15384615384615385,False,2.8294107370078563,0.0343764659258372,0.031288132071495056
ranking,20260916,Bearing1_1,98,0.9514692474928115,3.6141948342323302,0.04038815608958608,0.06365771529572699,0.13402061855670103,False,3.6141948342323302,0.017613249483061737,0.02435954101383686
ranking,20260916,Bearing1_2,136,0.9996994418205236,4.286315070092678,0.03180706440298645,0.05726015082527923,0.044444444444444446,False,4.289344626665116,0.013349393860618262,0.02008768543601036
ranking,20260916,Bearing1_3,133,0.9647167443711041,4.1824453443288805,0.03203603173747207,0.03123794939753114,0.17424242424242425,False,4.19109511077404,0.007453409806240809,0.012851613573729992
ranking,20260916,Bearing1_4,97,0.8763412581527454,0.7204075038433075,0.014964873033265278,0.026272006734922877,0.3958333333333333,False,0.9650641530752183,0.027223067659498078,0.05497787147760391
ranking,20260916,Bearing1_5,27,0.938949938949939,2.817688502371311,0.10870305500351465,0.0968770496603856,0.15384615384615385,False,2.8200538739562035,0.03435290742317575,0.031172653660178185
control,20260917,Bearing1_1,98,0.9524638346435105,3.80427605509758,0.042223766968422324,0.06543097713646419,0.14432989690721648,False,3.80427605509758,0.017199324178588264,0.025318395346403122
control,20260917,Bearing1_2,136,0.9996183388197127,4.486432927101851,0.03352666669421726,0.060011737485343636,0.05185185185185185,False,4.504689756780863,0.013322057838724317,0.02016928233206272
control,20260917,Bearing1_3,133,0.9645535140429091,4.463811118900776,0.03471873807297511,0.03221740568204183,0.13636363636363635,False,4.507965258043259,0.007146773286364282,0.013131964951753616
control,20260917,Bearing1_4,97,0.756377551020408,0.820667578279972,0.018046615055451787,0.030926256556872752,0.4375,False,1.1583315603435038,0.026698967390391706,0.05562996491789818
control,20260917,Bearing1_5,27,0.9255189255189256,3.087347729504108,0.12036195565015079,0.1071708249191698,0.19230769230769232,False,3.1022706398740407,0.034545930178264905,0.03329017758369446
ranking,20260917,Bearing1_1,98,0.9524638346435105,3.806325796246529,0.042246710178778346,0.06476275528707924,0.14432989690721648,False,3.806325796246529,0.017014506575065827,0.025233427062630653
ranking,20260917,Bearing1_2,136,0.9996231095844663,4.486674922332168,0.033533607199788096,0.05955734913402676,0.044444444444444446,False,4.504996184259653,0.013220288474853471,0.02017517015337944
ranking,20260917,Bearing1_3,133,0.9647320472143723,4.454520404152572,0.0346325280610472,0.03199431357023498,0.13636363636363635,False,4.498015306331217,0.007112984592382585,0.01325767021626234
