epoch,train_mse,heldout_reconstruction_mse
1,0.2894512856994113,0.3779331577434694
2,0.06229904547546845,0.2883937956509243
3,0.048817064817351014,0.25939240288541643
4,0.04500891810544294,0.24876066552339537
5,0.04365133907221166,0.2467565266591198
