epoch,train_mse,heldout_reconstruction_mse
1,0.475302024810394,0.7019332310080623
2,0.08645144800769564,0.5396534380149992
3,0.06443553502899785,0.5136764671409854
4,0.05760669544531487,0.4786701183604668
5,0.054399630987128605,0.46266431335016345
