epoch,train_mse,heldout_reconstruction_mse
1,0.413528470430987,0.6667193765241956
2,0.09566005972159794,0.7170727367566456
3,0.07156632514751701,0.5890542425632102
4,0.0623386631553124,0.5473550307271611
5,0.057463449974653816,0.4980164851796636
